date,DIS,isPartial
2016-09-11,65,False
2016-09-18,67,False
2016-09-25,69,False
2016-10-02,74,False
2016-10-09,73,False
2016-10-16,70,False
2016-10-23,74,False
2016-10-30,71,False
2016-11-06,72,False
2016-11-13,72,False
2016-11-20,71,False
2016-11-27,68,False
2016-12-04,77,False
2016-12-11,71,False
2016-12-18,72,False
2016-12-25,69,False
2017-01-01,75,False
2017-01-08,75,False
2017-01-15,73,False
2017-01-22,73,False
2017-01-29,75,False
2017-02-05,72,False
2017-02-12,77,False
2017-02-19,72,False
2017-02-26,81,False
2017-03-05,74,False
2017-03-12,68,False
2017-03-19,75,False
2017-03-26,69,False
2017-04-02,66,False
2017-04-09,67,False
2017-04-16,71,False
2017-04-23,70,False
2017-04-30,69,False
2017-05-07,74,False
2017-05-14,70,False
2017-05-21,67,False
2017-05-28,71,False
2017-06-04,71,False
2017-06-11,72,False
2017-06-18,68,False
2017-06-25,63,False
2017-07-02,67,False
2017-07-09,71,False
2017-07-16,72,False
2017-07-23,67,False
2017-07-30,62,False
2017-08-06,72,False
2017-08-13,73,False
2017-08-20,66,False
2017-08-27,66,False
2017-09-03,67,False
2017-09-10,67,False
2017-09-17,70,False
2017-09-24,71,False
2017-10-01,65,False
2017-10-08,72,False
2017-10-15,70,False
2017-10-22,71,False
2017-10-29,73,False
2017-11-05,71,False
2017-11-12,69,False
2017-11-19,74,False
2017-11-26,72,False
2017-12-03,71,False
2017-12-10,73,False
2017-12-17,69,False
2017-12-24,68,False
2017-12-31,66,False
2018-01-07,66,False
2018-01-14,69,False
2018-01-21,68,False
2018-01-28,73,False
2018-02-04,77,False
2018-02-11,73,False
2018-02-18,71,False
2018-02-25,71,False
2018-03-04,76,False
2018-03-11,66,False
2018-03-18,73,False
2018-03-25,70,False
2018-04-01,69,False
2018-04-08,68,False
2018-04-15,68,False
2018-04-22,64,False
2018-04-29,69,False
2018-05-06,70,False
2018-05-13,70,False
2018-05-20,73,False
2018-05-27,72,False
2018-06-03,73,False
2018-06-10,72,False
2018-06-17,69,False
2018-06-24,69,False
2018-07-01,66,False
2018-07-08,61,False
2018-07-15,67,False
2018-07-22,69,False
2018-07-29,68,False
2018-08-05,69,False
2018-08-12,66,False
2018-08-19,62,False
2018-08-26,69,False
2018-09-02,76,False
2018-09-09,70,False
2018-09-16,67,False
2018-09-23,66,False
2018-09-30,68,False
2018-10-07,68,False
2018-10-14,70,False
