date,F,isPartial
2016-09-25,99,False
2016-10-02,98,False
2016-10-09,100,False
2016-10-16,97,False
2016-10-23,97,False
2016-10-30,98,False
2016-11-06,97,False
2016-11-13,96,False
2016-11-20,99,False
2016-11-27,94,False
2016-12-04,96,False
2016-12-11,96,False
2016-12-18,95,False
2016-12-25,95,False
2017-01-01,93,False
2017-01-08,94,False
2017-01-15,92,False
2017-01-22,95,False
2017-01-29,94,False
2017-02-05,93,False
2017-02-12,92,False
2017-02-19,90,False
2017-02-26,90,False
2017-03-05,93,False
2017-03-12,90,False
2017-03-19,95,False
2017-03-26,91,False
2017-04-02,90,False
2017-04-09,88,False
2017-04-16,87,False
2017-04-23,87,False
2017-04-30,90,False
2017-05-07,86,False
2017-05-14,85,False
2017-05-21,87,False
2017-05-28,86,False
2017-06-04,81,False
2017-06-11,82,False
2017-06-18,81,False
2017-06-25,86,False
2017-07-02,84,False
2017-07-09,81,False
2017-07-16,81,False
2017-07-23,81,False
2017-07-30,78,False
2017-08-06,75,False
2017-08-13,75,False
2017-08-20,76,False
2017-08-27,77,False
2017-09-03,72,False
2017-09-10,77,False
2017-09-17,76,False
2017-09-24,74,False
2017-10-01,77,False
2017-10-08,74,False
2017-10-15,75,False
2017-10-22,72,False
2017-10-29,75,False
2017-11-05,74,False
2017-11-12,73,False
2017-11-19,73,False
2017-11-26,73,False
2017-12-03,76,False
2017-12-10,75,False
2017-12-17,74,False
2017-12-24,74,False
2017-12-31,78,False
2018-01-07,82,False
2018-01-14,80,False
2018-01-21,77,False
2018-01-28,76,False
2018-02-04,74,False
2018-02-11,74,False
2018-02-18,70,False
2018-02-25,72,False
2018-03-04,71,False
2018-03-11,69,False
2018-03-18,69,False
2018-03-25,69,False
2018-04-01,66,False
2018-04-08,67,False
2018-04-15,64,False
2018-04-22,63,False
2018-04-29,62,False
2018-05-06,63,False
2018-05-13,62,False
2018-05-20,63,False
2018-05-27,64,False
2018-06-03,61,False
2018-06-10,60,False
2018-06-17,65,False
2018-06-24,69,False
2018-07-01,58,False
2018-07-08,58,False
2018-07-15,58,False
2018-07-22,60,False
2018-07-29,57,False
2018-08-05,57,False
2018-08-12,57,False
2018-08-19,57,False
2018-08-26,59,False
2018-09-02,58,False
2018-09-09,57,False
2018-09-16,59,False
2018-09-23,58,False
2018-09-30,56,False
2018-10-07,56,False
2018-10-14,57,False
2018-10-21,56,False
2018-10-28,55,False
2018-11-04,54,False
2018-11-11,55,False
2018-11-18,55,False
2018-11-25,53,False
2018-12-02,57,False
2018-12-09,54,False
2018-12-16,53,False
2018-12-23,55,False
2018-12-30,57,False
2019-01-06,53,False
2019-01-13,53,False
2019-01-20,54,False
2019-01-27,56,False
2019-02-03,53,False
2019-02-10,52,False
2019-02-17,55,False
2019-02-24,56,False
2019-03-03,54,False
2019-03-10,53,False
2019-03-17,53,False
2019-03-24,52,False
2019-03-31,53,False
2019-04-07,54,False
2019-04-14,53,False
2019-04-21,53,False
2019-04-28,50,False
2019-05-05,52,False
2019-05-12,54,False
2019-05-19,55,False
2019-05-26,52,False
2019-06-02,51,False
2019-06-09,51,False
2019-06-16,52,False
2019-06-23,53,False
2019-06-30,51,False
2019-07-07,49,False
2019-07-14,50,False
2019-07-21,50,False
2019-07-28,49,False
2019-08-04,46,False
2019-08-11,47,False
2019-08-18,50,False
2019-08-25,50,False
2019-09-01,48,False
2019-09-08,50,False
2019-09-15,51,False
2019-09-22,51,False
2019-09-29,50,False
2019-10-06,49,False
2019-10-13,52,False
2019-10-20,51,False
2019-10-27,52,False
2019-11-03,52,False
2019-11-10,51,False
2019-11-17,52,False
2019-11-24,51,False
2019-12-01,51,False
2019-12-08,49,False
2019-12-15,51,False
2019-12-22,50,False
2019-12-29,49,False
2020-01-05,51,False
2020-01-12,51,False
2020-01-19,51,False
2020-01-26,52,False
2020-02-02,52,False
2020-02-09,51,False
2020-02-16,50,False
2020-02-23,48,False
2020-03-01,51,False
2020-03-08,48,False
2020-03-15,48,False
2020-03-22,51,False
2020-03-29,51,False
2020-04-05,50,False
2020-04-12,51,False
2020-04-19,50,False
2020-04-26,50,False
2020-05-03,51,False
2020-05-10,51,False
2020-05-17,51,False
2020-05-24,52,False
2020-05-31,52,False
2020-06-07,53,False
2020-06-14,52,False
2020-06-21,52,False
2020-06-28,51,False
2020-07-05,49,False
2020-07-12,48,False
2020-07-19,50,False
2020-07-26,50,False
2020-08-02,48,False
2020-08-09,50,False
2020-08-16,49,False
2020-08-23,50,False
2020-08-30,50,False
2020-09-06,51,False
2020-09-13,50,False
2020-09-20,49,False
2020-09-27,51,False
2020-10-04,51,False
2020-10-11,51,False
2020-10-18,49,False
2020-10-25,50,False
2020-11-01,46,False
2020-11-08,48,False
2020-11-15,49,False
2020-11-22,49,False
2020-11-29,49,False
2020-12-06,48,False
2020-12-13,48,False
2020-12-20,49,False
2020-12-27,46,False
2021-01-03,45,False
2021-01-10,47,False
2021-01-17,47,False
2021-01-24,48,False
2021-01-31,48,False
2021-02-07,49,False
2021-02-14,48,False
2021-02-21,48,False
2021-02-28,48,False
2021-03-07,48,False
2021-03-14,46,False
2021-03-21,47,False
2021-03-28,46,False
2021-04-04,47,False
2021-04-11,47,False
2021-04-18,48,False
2021-04-25,47,False
2021-05-02,46,False
2021-05-09,48,False
2021-05-16,47,False
2021-05-23,47,False
2021-05-30,48,False
2021-06-06,48,False
2021-06-13,48,False
2021-06-20,52,False
2021-06-27,49,False
2021-07-04,44,False
2021-07-11,46,False
2021-07-18,45,False
2021-07-25,44,False
2021-08-01,44,False
2021-08-08,46,False
2021-08-15,46,False
2021-08-22,48,False
2021-08-29,47,False
2021-09-05,49,False
2021-09-12,46,True
