date,GD,isPartial
2016-09-25,32,False
2016-10-02,31,False
2016-10-09,32,False
2016-10-16,34,False
2016-10-23,34,False
2016-10-30,32,False
2016-11-06,36,False
2016-11-13,37,False
2016-11-20,37,False
2016-11-27,36,False
2016-12-04,37,False
2016-12-11,34,False
2016-12-18,33,False
2016-12-25,34,False
2017-01-01,35,False
2017-01-08,35,False
2017-01-15,35,False
2017-01-22,36,False
2017-01-29,64,False
2017-02-05,44,False
2017-02-12,37,False
2017-02-19,35,False
2017-02-26,36,False
2017-03-05,35,False
2017-03-12,33,False
2017-03-19,36,False
2017-03-26,34,False
2017-04-02,35,False
2017-04-09,34,False
2017-04-16,32,False
2017-04-23,35,False
2017-04-30,34,False
2017-05-07,33,False
2017-05-14,31,False
2017-05-21,32,False
2017-05-28,32,False
2017-06-04,37,False
2017-06-11,38,False
2017-06-18,34,False
2017-06-25,35,False
2017-07-02,36,False
2017-07-09,35,False
2017-07-16,37,False
2017-07-23,36,False
2017-07-30,50,False
2017-08-06,49,False
2017-08-13,41,False
2017-08-20,40,False
2017-08-27,35,False
2017-09-03,37,False
2017-09-10,35,False
2017-09-17,34,False
2017-09-24,32,False
2017-10-01,33,False
2017-10-08,32,False
2017-10-15,29,False
2017-10-22,31,False
2017-10-29,30,False
2017-11-05,32,False
2017-11-12,31,False
2017-11-19,33,False
2017-11-26,35,False
2017-12-03,37,False
2017-12-10,34,False
2017-12-17,43,False
2017-12-24,44,False
2017-12-31,38,False
2018-01-07,36,False
2018-01-14,34,False
2018-01-21,33,False
2018-01-28,31,False
2018-02-04,34,False
2018-02-11,32,False
2018-02-18,31,False
2018-02-25,30,False
2018-03-04,31,False
2018-03-11,32,False
2018-03-18,32,False
2018-03-25,32,False
2018-04-01,31,False
2018-04-08,32,False
2018-04-15,30,False
2018-04-22,31,False
2018-04-29,30,False
2018-05-06,33,False
2018-05-13,32,False
2018-05-20,29,False
2018-05-27,30,False
2018-06-03,35,False
2018-06-10,35,False
2018-06-17,34,False
2018-06-24,32,False
2018-07-01,32,False
2018-07-08,35,False
2018-07-15,53,False
2018-07-22,70,False
2018-07-29,46,False
2018-08-05,40,False
2018-08-12,45,False
2018-08-19,51,False
2018-08-26,49,False
2018-09-02,51,False
2018-09-09,62,False
2018-09-16,48,False
2018-09-23,49,False
2018-09-30,45,False
2018-10-07,37,False
2018-10-14,35,False
2018-10-21,35,False
2018-10-28,36,False
2018-11-04,28,False
2018-11-11,32,False
2018-11-18,31,False
2018-11-25,36,False
2018-12-02,33,False
2018-12-09,32,False
2018-12-16,34,False
2018-12-23,37,False
2018-12-30,38,False
2019-01-06,34,False
2019-01-13,36,False
2019-01-20,40,False
2019-01-27,50,False
2019-02-03,98,False
2019-02-10,65,False
2019-02-17,47,False
2019-02-24,46,False
2019-03-03,42,False
2019-03-10,37,False
2019-03-17,34,False
2019-03-24,34,False
2019-03-31,38,False
2019-04-07,38,False
2019-04-14,40,False
2019-04-21,62,False
2019-04-28,59,False
2019-05-05,36,False
2019-05-12,34,False
2019-05-19,38,False
2019-05-26,62,False
2019-06-02,39,False
2019-06-09,36,False
2019-06-16,100,False
2019-06-23,55,False
2019-06-30,45,False
2019-07-07,38,False
2019-07-14,34,False
2019-07-21,34,False
2019-07-28,41,False
2019-08-04,34,False
2019-08-11,31,False
2019-08-18,31,False
2019-08-25,32,False
2019-09-01,30,False
2019-09-08,32,False
2019-09-15,32,False
2019-09-22,28,False
2019-09-29,26,False
2019-10-06,27,False
2019-10-13,27,False
2019-10-20,27,False
2019-10-27,28,False
2019-11-03,29,False
2019-11-10,29,False
2019-11-17,30,False
2019-11-24,31,False
2019-12-01,30,False
2019-12-08,28,False
2019-12-15,31,False
2019-12-22,33,False
2019-12-29,31,False
2020-01-05,31,False
2020-01-12,28,False
2020-01-19,29,False
2020-01-26,30,False
2020-02-02,31,False
2020-02-09,31,False
2020-02-16,27,False
2020-02-23,28,False
2020-03-01,29,False
2020-03-08,28,False
2020-03-15,26,False
2020-03-22,23,False
2020-03-29,23,False
2020-04-05,23,False
2020-04-12,23,False
2020-04-19,23,False
2020-04-26,23,False
2020-05-03,23,False
2020-05-10,24,False
2020-05-17,24,False
2020-05-24,25,False
2020-05-31,24,False
2020-06-07,27,False
2020-06-14,26,False
2020-06-21,27,False
2020-06-28,28,False
2020-07-05,32,False
2020-07-12,27,False
2020-07-19,29,False
2020-07-26,29,False
2020-08-02,28,False
2020-08-09,28,False
