date,GE,isPartial
2016-10-02,68,False
2016-10-09,71,False
2016-10-16,72,False
2016-10-23,70,False
2016-10-30,72,False
2016-11-06,72,False
2016-11-13,75,False
2016-11-20,73,False
2016-11-27,77,False
2016-12-04,68,False
2016-12-11,73,False
2016-12-18,70,False
2016-12-25,68,False
2017-01-01,70,False
2017-01-08,72,False
2017-01-15,72,False
2017-01-22,75,False
2017-01-29,71,False
2017-02-05,70,False
2017-02-12,73,False
2017-02-19,73,False
2017-02-26,70,False
2017-03-05,73,False
2017-03-12,71,False
2017-03-19,71,False
2017-03-26,71,False
2017-04-02,71,False
2017-04-09,71,False
2017-04-16,71,False
2017-04-23,70,False
2017-04-30,69,False
2017-05-07,72,False
2017-05-14,71,False
2017-05-21,74,False
2017-05-28,70,False
2017-06-04,76,False
2017-06-11,79,False
2017-06-18,73,False
2017-06-25,73,False
2017-07-02,76,False
2017-07-09,77,False
2017-07-16,75,False
2017-07-23,74,False
2017-07-30,73,False
2017-08-06,69,False
2017-08-13,69,False
2017-08-20,69,False
2017-08-27,69,False
2017-09-03,67,False
2017-09-10,70,False
2017-09-17,71,False
2017-09-24,74,False
2017-10-01,71,False
2017-10-08,76,False
2017-10-15,81,False
2017-10-22,78,False
2017-10-29,76,False
2017-11-05,83,False
2017-11-12,100,False
2017-11-19,84,False
2017-11-26,83,False
2017-12-03,85,False
2017-12-10,79,False
2017-12-17,76,False
2017-12-24,72,False
2017-12-31,76,False
2018-01-07,88,False
2018-01-14,90,False
2018-01-21,90,False
2018-01-28,82,False
2018-02-04,83,False
2018-02-11,74,False
2018-02-18,78,False
2018-02-25,82,False
2018-03-04,82,False
2018-03-11,80,False
2018-03-18,82,False
2018-03-25,83,False
2018-04-01,78,False
2018-04-08,77,False
2018-04-15,83,False
2018-04-22,80,False
2018-04-29,79,False
2018-05-06,88,False
2018-05-13,76,False
2018-05-20,86,False
2018-05-27,83,False
2018-06-03,81,False
2018-06-10,81,False
2018-06-17,86,False
2018-06-24,92,False
2018-07-01,81,False
2018-07-08,80,False
2018-07-15,81,False
2018-07-22,83,False
2018-07-29,82,False
2018-08-05,79,False
2018-08-12,80,False
2018-08-19,79,False
2018-08-26,76,False
2018-09-02,76,False
2018-09-09,75,False
2018-09-16,76,False
2018-09-23,76,False
2018-09-30,92,False
2018-10-07,82,False
2018-10-14,77,False
2018-10-21,79,False
2018-10-28,88,False
2018-11-04,84,False
2018-11-11,94,False
2018-11-18,92,False
2018-11-25,88,False
2018-12-02,87,False
2018-12-09,88,False
2018-12-16,89,False
2018-12-23,84,False
2018-12-30,84,False
2019-01-06,91,False
2019-01-13,88,False
2019-01-20,84,False
2019-01-27,91,False
2019-02-03,88,False
2019-02-10,89,False
2019-02-17,87,False
2019-02-24,94,False
2019-03-03,90,False
2019-03-10,89,False
2019-03-17,85,False
2019-03-24,83,False
2019-03-31,78,False
2019-04-07,79,False
2019-04-14,79,False
2019-04-21,73,False
2019-04-28,82,False
2019-05-05,76,False
2019-05-12,77,False
2019-05-19,76,False
2019-05-26,75,False
2019-06-02,75,False
2019-06-09,74,False
2019-06-16,80,False
2019-06-23,78,False
2019-06-30,77,False
2019-07-07,79,False
2019-07-14,79,False
2019-07-21,76,False
2019-07-28,77,False
2019-08-04,73,False
2019-08-11,89,False
2019-08-18,85,False
2019-08-25,78,False
2019-09-01,75,False
2019-09-08,74,False
2019-09-15,73,False
2019-09-22,72,False
2019-09-29,73,False
2019-10-06,76,False
2019-10-13,71,False
2019-10-20,75,False
2019-10-27,78,False
2019-11-03,81,False
2019-11-10,77,False
2019-11-17,79,False
2019-11-24,78,False
2019-12-01,77,False
2019-12-08,73,False
2019-12-15,74,False
2019-12-22,70,False
2019-12-29,66,False
2020-01-05,74,False
2020-01-12,75,False
2020-01-19,77,False
2020-01-26,79,False
2020-02-02,78,False
2020-02-09,79,False
2020-02-16,72,False
2020-02-23,75,False
2020-03-01,75,False
2020-03-08,78,False
2020-03-15,76,False
2020-03-22,77,False
2020-03-29,75,False
2020-04-05,74,False
2020-04-12,76,False
2020-04-19,74,False
2020-04-26,74,False
2020-05-03,76,False
2020-05-10,74,False
2020-05-17,76,False
2020-05-24,77,False
2020-05-31,74,False
2020-06-07,75,False
2020-06-14,72,False
2020-06-21,75,False
2020-06-28,77,False
2020-07-05,81,False
2020-07-12,74,False
2020-07-19,72,False
2020-07-26,78,False
2020-08-02,77,False
2020-08-09,83,False
2020-08-16,86,False
2020-08-23,79,False
2020-08-30,81,False
2020-09-06,82,False
2020-09-13,85,False
2020-09-20,83,False
2020-09-27,77,False
2020-10-04,85,False
2020-10-11,89,False
2020-10-18,85,False
2020-10-25,84,False
2020-11-01,81,False
2020-11-08,89,False
2020-11-15,87,False
2020-11-22,87,False
2020-11-29,86,False
2020-12-06,86,False
2020-12-13,80,False
2020-12-20,80,False
2020-12-27,77,False
2021-01-03,81,False
2021-01-10,84,False
2021-01-17,86,False
2021-01-24,86,False
2021-01-31,85,False
2021-02-07,79,False
2021-02-14,85,False
2021-02-21,88,False
2021-02-28,82,False
2021-03-07,89,False
2021-03-14,82,False
2021-03-21,80,False
2021-03-28,80,False
2021-04-04,76,False
2021-04-11,77,False
2021-04-18,81,False
2021-04-25,78,False
2021-05-02,78,False
2021-05-09,78,False
2021-05-16,79,False
2021-05-23,81,False
2021-05-30,82,False
2021-06-06,83,False
2021-06-13,82,False
2021-06-20,78,False
2021-06-27,83,False
2021-07-04,78,False
2021-07-11,83,False
2021-07-18,88,False
2021-07-25,91,False
2021-08-01,97,False
2021-08-08,85,False
2021-08-15,82,False
2021-08-22,86,False
2021-08-29,81,False
2021-09-05,76,False
2021-09-12,83,False
2021-09-19,84,True
