date,GM,isPartial
2016-08-28,72,False
2016-09-04,75,False
2016-09-11,74,False
2016-09-18,74,False
2016-09-25,70,False
2016-10-02,68,False
2016-10-09,67,False
2016-10-16,68,False
2016-10-23,73,False
2016-10-30,68,False
2016-11-06,67,False
2016-11-13,71,False
2016-11-20,65,False
2016-11-27,72,False
2016-12-04,70,False
2016-12-11,69,False
2016-12-18,70,False
2016-12-25,65,False
2017-01-01,71,False
2017-01-08,72,False
2017-01-15,73,False
2017-01-22,74,False
2017-01-29,75,False
2017-02-05,74,False
2017-02-12,71,False
2017-02-19,73,False
2017-02-26,78,False
2017-03-05,78,False
2017-03-12,71,False
2017-03-19,72,False
2017-03-26,75,False
2017-04-02,73,False
2017-04-09,73,False
2017-04-16,73,False
2017-04-23,76,False
2017-04-30,72,False
2017-05-07,74,False
2017-05-14,67,False
2017-05-21,67,False
2017-05-28,68,False
2017-06-04,71,False
2017-06-11,69,False
2017-06-18,70,False
2017-06-25,67,False
2017-07-02,62,False
2017-07-09,64,False
2017-07-16,64,False
2017-07-23,66,False
2017-07-30,66,False
2017-08-06,61,False
2017-08-13,62,False
2017-08-20,63,False
2017-08-27,63,False
2017-09-03,63,False
2017-09-10,72,False
2017-09-17,69,False
2017-09-24,68,False
2017-10-01,72,False
2017-10-08,69,False
2017-10-15,70,False
2017-10-22,71,False
2017-10-29,68,False
2017-11-05,71,False
2017-11-12,68,False
2017-11-19,65,False
2017-11-26,69,False
2017-12-03,68,False
2017-12-10,70,False
2017-12-17,67,False
2017-12-24,59,False
2017-12-31,65,False
2018-01-07,73,False
2018-01-14,69,False
2018-01-21,67,False
2018-01-28,69,False
2018-02-04,72,False
2018-02-11,69,False
2018-02-18,71,False
2018-02-25,72,False
2018-03-04,73,False
2018-03-11,71,False
2018-03-18,70,False
2018-03-25,69,False
2018-04-01,68,False
2018-04-08,71,False
2018-04-15,69,False
2018-04-22,68,False
2018-04-29,68,False
2018-05-06,71,False
2018-05-13,66,False
2018-05-20,65,False
2018-05-27,66,False
2018-06-03,68,False
2018-06-10,65,False
2018-06-17,67,False
2018-06-24,62,False
2018-07-01,61,False
2018-07-08,64,False
2018-07-15,64,False
2018-07-22,67,False
2018-07-29,64,False
2018-08-05,63,False
2018-08-12,63,False
2018-08-19,63,False
2018-08-26,67,False
2018-09-02,62,False
2018-09-09,68,False
2018-09-16,68,False
2018-09-23,66,False
2018-09-30,66,False
2018-10-07,62,False
2018-10-14,62,False
