date,GS,isPartial
2016-09-25,53,False
2016-10-02,53,False
2016-10-09,48,False
2016-10-16,51,False
2016-10-23,51,False
2016-10-30,51,False
2016-11-06,47,False
2016-11-13,50,False
2016-11-20,71,False
2016-11-27,48,False
2016-12-04,48,False
2016-12-11,52,False
2016-12-18,49,False
2016-12-25,55,False
2017-01-01,49,False
2017-01-08,55,False
2017-01-15,50,False
2017-01-22,55,False
2017-01-29,51,False
2017-02-05,48,False
2017-02-12,56,False
2017-02-19,47,False
2017-02-26,67,False
2017-03-05,49,False
2017-03-12,52,False
2017-03-19,51,False
2017-03-26,48,False
2017-04-02,50,False
2017-04-09,49,False
2017-04-16,48,False
2017-04-23,63,False
2017-04-30,51,False
2017-05-07,47,False
2017-05-14,52,False
2017-05-21,50,False
2017-05-28,53,False
2017-06-04,56,False
2017-06-11,55,False
2017-06-18,53,False
2017-06-25,53,False
2017-07-02,51,False
2017-07-09,58,False
2017-07-16,64,False
2017-07-23,52,False
2017-07-30,58,False
2017-08-06,53,False
2017-08-13,62,False
2017-08-20,61,False
2017-08-27,54,False
2017-09-03,50,False
2017-09-10,58,False
2017-09-17,47,False
2017-09-24,60,False
2017-10-01,49,False
2017-10-08,49,False
2017-10-15,53,False
2017-10-22,78,False
2017-10-29,62,False
2017-11-05,47,False
2017-11-12,50,False
2017-11-19,50,False
2017-11-26,68,False
2017-12-03,56,False
2017-12-10,48,False
2017-12-17,58,False
2017-12-24,61,False
2017-12-31,46,False
2018-01-07,51,False
2018-01-14,58,False
2018-01-21,66,False
2018-01-28,57,False
2018-02-04,57,False
2018-02-11,55,False
2018-02-18,56,False
2018-02-25,57,False
2018-03-04,51,False
2018-03-11,86,False
2018-03-18,53,False
2018-03-25,51,False
2018-04-01,59,False
2018-04-08,59,False
2018-04-15,73,False
2018-04-22,54,False
2018-04-29,74,False
2018-05-06,66,False
2018-05-13,71,False
2018-05-20,70,False
2018-05-27,60,False
2018-06-03,60,False
2018-06-10,49,False
2018-06-17,52,False
2018-06-24,52,False
2018-07-01,50,False
2018-07-08,52,False
2018-07-15,56,False
2018-07-22,55,False
2018-07-29,51,False
2018-08-05,59,False
2018-08-12,51,False
2018-08-19,58,False
2018-08-26,72,False
2018-09-02,52,False
2018-09-09,55,False
2018-09-16,72,False
2018-09-23,62,False
2018-09-30,68,False
2018-10-07,48,False
2018-10-14,53,False
2018-10-21,65,False
2018-10-28,83,False
2018-11-04,64,False
2018-11-11,44,False
2018-11-18,50,False
2018-11-25,56,False
2018-12-02,71,False
2018-12-09,60,False
2018-12-16,53,False
2018-12-23,55,False
2018-12-30,47,False
2019-01-06,53,False
2019-01-13,60,False
2019-01-20,60,False
2019-01-27,70,False
2019-02-03,52,False
2019-02-10,72,False
2019-02-17,64,False
2019-02-24,59,False
2019-03-03,53,False
2019-03-10,54,False
2019-03-17,56,False
2019-03-24,51,False
2019-03-31,56,False
2019-04-07,51,False
2019-04-14,83,False
2019-04-21,55,False
2019-04-28,61,False
2019-05-05,83,False
2019-05-12,64,False
2019-05-19,88,False
2019-05-26,50,False
2019-06-02,54,False
2019-06-09,55,False
2019-06-16,51,False
2019-06-23,51,False
2019-06-30,50,False
2019-07-07,53,False
2019-07-14,56,False
2019-07-21,53,False
2019-07-28,58,False
2019-08-04,57,False
2019-08-11,62,False
2019-08-18,56,False
2019-08-25,72,False
2019-09-01,66,False
2019-09-08,59,False
2019-09-15,66,False
2019-09-22,89,False
2019-09-29,84,False
2019-10-06,47,False
2019-10-13,52,False
2019-10-20,66,False
2019-10-27,69,False
2019-11-03,70,False
2019-11-10,45,False
2019-11-17,53,False
2019-11-24,55,False
2019-12-01,63,False
2019-12-08,68,False
2019-12-15,61,False
2019-12-22,57,False
2019-12-29,48,False
2020-01-05,56,False
2020-01-12,54,False
2020-01-19,60,False
2020-01-26,55,False
2020-02-02,59,False
2020-02-09,63,False
2020-02-16,60,False
2020-02-23,95,False
