date,IBM,isPartial
2016-09-04,76,False
2016-09-11,79,False
2016-09-18,82,False
2016-09-25,80,False
2016-10-02,78,False
2016-10-09,78,False
2016-10-16,84,False
2016-10-23,80,False
2016-10-30,74,False
2016-11-06,75,False
2016-11-13,76,False
2016-11-20,73,False
2016-11-27,76,False
2016-12-04,72,False
2016-12-11,75,False
2016-12-18,67,False
2016-12-25,49,False
2017-01-01,63,False
2017-01-08,78,False
2017-01-15,82,False
2017-01-22,80,False
2017-01-29,83,False
2017-02-05,83,False
2017-02-12,83,False
2017-02-19,83,False
2017-02-26,82,False
2017-03-05,86,False
2017-03-12,80,False
2017-03-19,84,False
2017-03-26,79,False
2017-04-02,77,False
2017-04-09,74,False
2017-04-16,81,False
2017-04-23,76,False
2017-04-30,74,False
2017-05-07,77,False
2017-05-14,78,False
2017-05-21,79,False
2017-05-28,69,False
2017-06-04,71,False
2017-06-11,73,False
2017-06-18,68,False
2017-06-25,68,False
2017-07-02,67,False
2017-07-09,71,False
2017-07-16,71,False
2017-07-23,68,False
2017-07-30,73,False
2017-08-06,67,False
2017-08-13,65,False
2017-08-20,68,False
2017-08-27,68,False
2017-09-03,71,False
2017-09-10,75,False
2017-09-17,74,False
2017-09-24,73,False
2017-10-01,69,False
2017-10-08,71,False
2017-10-15,81,False
2017-10-22,78,False
2017-10-29,71,False
2017-11-05,71,False
2017-11-12,73,False
2017-11-19,66,False
2017-11-26,70,False
2017-12-03,71,False
2017-12-10,70,False
2017-12-17,63,False
2017-12-24,49,False
2017-12-31,57,False
2018-01-07,71,False
2018-01-14,81,False
2018-01-21,75,False
2018-01-28,74,False
2018-02-04,75,False
2018-02-11,73,False
2018-02-18,69,False
2018-02-25,71,False
2018-03-04,72,False
2018-03-11,74,False
2018-03-18,80,False
2018-03-25,69,False
2018-04-01,72,False
2018-04-08,72,False
2018-04-15,79,False
2018-04-22,72,False
2018-04-29,63,False
2018-05-06,65,False
2018-05-13,69,False
2018-05-20,67,False
2018-05-27,63,False
2018-06-03,68,False
2018-06-10,67,False
2018-06-17,64,False
2018-06-24,62,False
2018-07-01,59,False
2018-07-08,63,False
2018-07-15,70,False
2018-07-22,67,False
2018-07-29,64,False
2018-08-05,62,False
2018-08-12,59,False
2018-08-19,61,False
2018-08-26,64,False
2018-09-02,65,False
2018-09-09,68,False
2018-09-16,69,False
2018-09-23,68,False
2018-09-30,67,False
2018-10-07,68,False
2018-10-14,73,False
2018-10-21,66,False
2018-10-28,100,False
2018-11-04,70,False
2018-11-11,65,False
2018-11-18,60,False
2018-11-25,69,False
2018-12-02,67,False
2018-12-09,61,False
2018-12-16,60,False
2018-12-23,44,False
2018-12-30,46,False
2019-01-06,68,False
2019-01-13,64,False
2019-01-20,76,False
2019-01-27,67,False
2019-02-03,68,False
2019-02-10,70,False
2019-02-17,73,False
2019-02-24,67,False
2019-03-03,65,False
2019-03-10,67,False
2019-03-17,65,False
2019-03-24,62,False
2019-03-31,65,False
2019-04-07,64,False
2019-04-14,63,False
2019-04-21,61,False
2019-04-28,59,False
2019-05-05,61,False
2019-05-12,61,False
2019-05-19,61,False
2019-05-26,56,False
2019-06-02,63,False
2019-06-09,63,False
2019-06-16,66,False
2019-06-23,62,False
2019-06-30,57,False
2019-07-07,63,False
2019-07-14,65,False
2019-07-21,58,False
2019-07-28,56,False
2019-08-04,55,False
2019-08-11,58,False
2019-08-18,63,False
2019-08-25,62,False
2019-09-01,61,False
2019-09-08,67,False
2019-09-15,67,False
2019-09-22,65,False
2019-09-29,61,False
2019-10-06,61,False
2019-10-13,69,False
2019-10-20,66,False
2019-10-27,56,False
2019-11-03,60,False
2019-11-10,56,False
2019-11-17,62,False
2019-11-24,55,False
2019-12-01,59,False
2019-12-08,58,False
2019-12-15,59,False
2019-12-22,38,False
2019-12-29,38,False
2020-01-05,54,False
2020-01-12,59,False
2020-01-19,65,False
2020-01-26,74,False
2020-02-02,66,False
2020-02-09,64,False
2020-02-16,61,False
2020-02-23,61,False
2020-03-01,61,False
2020-03-08,60,False
2020-03-15,55,False
2020-03-22,54,False
2020-03-29,50,False
2020-04-05,54,False
2020-04-12,52,False
2020-04-19,57,False
2020-04-26,50,False
2020-05-03,55,False
2020-05-10,54,False
2020-05-17,55,False
2020-05-24,61,False
2020-05-31,54,False
2020-06-07,58,False
2020-06-14,54,False
2020-06-21,53,False
2020-06-28,49,False
2020-07-05,53,False
2020-07-12,53,False
2020-07-19,56,False
2020-07-26,52,False
2020-08-02,50,False
2020-08-09,47,False
2020-08-16,52,False
2020-08-23,51,False
2020-08-30,51,False
2020-09-06,53,False
2020-09-13,51,False
2020-09-20,51,False
2020-09-27,47,False
2020-10-04,58,False
2020-10-11,53,False
2020-10-18,53,False
2020-10-25,51,False
2020-11-01,44,False
2020-11-08,49,False
2020-11-15,47,False
2020-11-22,43,False
2020-11-29,45,False
2020-12-06,47,False
2020-12-13,45,False
2020-12-20,34,False
2020-12-27,32,False
2021-01-03,44,False
2021-01-10,43,False
2021-01-17,54,False
2021-01-24,51,False
2021-01-31,48,False
2021-02-07,47,False
2021-02-14,46,False
2021-02-21,48,False
2021-02-28,48,False
2021-03-07,49,False
2021-03-14,46,False
2021-03-21,47,False
2021-03-28,45,False
2021-04-04,47,False
2021-04-11,49,False
2021-04-18,52,False
2021-04-25,47,False
2021-05-02,52,False
2021-05-09,49,False
2021-05-16,48,False
2021-05-23,48,False
2021-05-30,47,False
2021-06-06,50,False
2021-06-13,47,False
2021-06-20,46,False
2021-06-27,49,False
2021-07-04,47,False
2021-07-11,45,False
2021-07-18,47,False
2021-07-25,44,False
2021-08-01,42,False
2021-08-08,41,False
2021-08-15,44,False
