date,LOW,isPartial
2016-10-09,79,False
2016-10-16,81,False
2016-10-23,80,False
2016-10-30,80,False
2016-11-06,77,False
2016-11-13,78,False
2016-11-20,74,False
2016-11-27,79,False
2016-12-04,79,False
2016-12-11,77,False
2016-12-18,70,False
2016-12-25,73,False
2017-01-01,90,False
2017-01-08,88,False
2017-01-15,86,False
2017-01-22,88,False
2017-01-29,88,False
2017-02-05,87,False
2017-02-12,87,False
2017-02-19,91,False
2017-02-26,90,False
2017-03-05,90,False
2017-03-12,89,False
2017-03-19,91,False
2017-03-26,90,False
2017-04-02,86,False
2017-04-09,88,False
2017-04-16,87,False
2017-04-23,86,False
2017-04-30,88,False
2017-05-07,88,False
2017-05-14,84,False
2017-05-21,86,False
2017-05-28,85,False
2017-06-04,84,False
2017-06-11,85,False
2017-06-18,88,False
2017-06-25,86,False
2017-07-02,83,False
2017-07-09,88,False
2017-07-16,92,False
2017-07-23,90,False
2017-07-30,90,False
2017-08-06,86,False
2017-08-13,81,False
2017-08-20,83,False
2017-08-27,85,False
2017-09-03,82,False
2017-09-10,83,False
2017-09-17,84,False
2017-09-24,86,False
2017-10-01,86,False
2017-10-08,86,False
2017-10-15,86,False
2017-10-22,86,False
2017-10-29,83,False
2017-11-05,85,False
2017-11-12,87,False
2017-11-19,81,False
2017-11-26,81,False
2017-12-03,83,False
2017-12-10,78,False
2017-12-17,76,False
2017-12-24,77,False
2017-12-31,92,False
2018-01-07,92,False
2018-01-14,94,False
2018-01-21,91,False
2018-01-28,95,False
2018-02-04,91,False
2018-02-11,87,False
2018-02-18,91,False
2018-02-25,91,False
2018-03-04,93,False
2018-03-11,92,False
2018-03-18,87,False
2018-03-25,89,False
2018-04-01,88,False
2018-04-08,91,False
2018-04-15,92,False
2018-04-22,92,False
2018-04-29,90,False
2018-05-06,89,False
2018-05-13,87,False
2018-05-20,90,False
2018-05-27,86,False
2018-06-03,89,False
2018-06-10,89,False
2018-06-17,85,False
2018-06-24,90,False
2018-07-01,82,False
2018-07-08,87,False
2018-07-15,93,False
2018-07-22,92,False
2018-07-29,90,False
2018-08-05,88,False
2018-08-12,87,False
2018-08-19,86,False
2018-08-26,86,False
2018-09-02,85,False
2018-09-09,84,False
2018-09-16,86,False
2018-09-23,82,False
2018-09-30,84,False
2018-10-07,85,False
2018-10-14,82,False
2018-10-21,83,False
2018-10-28,82,False
2018-11-04,83,False
2018-11-11,85,False
2018-11-18,80,False
2018-11-25,82,False
2018-12-02,80,False
2018-12-09,80,False
2018-12-16,77,False
2018-12-23,74,False
2018-12-30,87,False
2019-01-06,92,False
2019-01-13,91,False
2019-01-20,95,False
2019-01-27,95,False
2019-02-03,91,False
2019-02-10,91,False
2019-02-17,93,False
2019-02-24,89,False
2019-03-03,92,False
2019-03-10,89,False
2019-03-17,92,False
2019-03-24,90,False
2019-03-31,90,False
2019-04-07,95,False
2019-04-14,90,False
2019-04-21,88,False
2019-04-28,90,False
2019-05-05,86,False
2019-05-12,88,False
2019-05-19,87,False
2019-05-26,84,False
2019-06-02,85,False
2019-06-09,83,False
2019-06-16,88,False
2019-06-23,84,False
2019-06-30,84,False
2019-07-07,87,False
