date,MA,isPartial
2016-09-11,81,False
2016-09-18,77,False
2016-09-25,79,False
2016-10-02,78,False
2016-10-09,81,False
2016-10-16,79,False
2016-10-23,80,False
2016-10-30,79,False
2016-11-06,76,False
2016-11-13,76,False
2016-11-20,73,False
2016-11-27,76,False
2016-12-04,73,False
2016-12-11,78,False
2016-12-18,77,False
2016-12-25,77,False
2017-01-01,80,False
2017-01-08,77,False
2017-01-15,75,False
2017-01-22,78,False
2017-01-29,78,False
2017-02-05,76,False
2017-02-12,77,False
2017-02-19,80,False
2017-02-26,100,False
2017-03-05,84,False
2017-03-12,81,False
2017-03-19,81,False
2017-03-26,79,False
2017-04-02,83,False
2017-04-09,77,False
2017-04-16,77,False
2017-04-23,77,False
2017-04-30,79,False
2017-05-07,79,False
2017-05-14,77,False
2017-05-21,79,False
2017-05-28,76,False
2017-06-04,79,False
2017-06-11,81,False
2017-06-18,79,False
2017-06-25,83,False
2017-07-02,79,False
2017-07-09,79,False
2017-07-16,80,False
2017-07-23,80,False
2017-07-30,80,False
2017-08-06,78,False
2017-08-13,78,False
2017-08-20,75,False
2017-08-27,75,False
2017-09-03,70,False
2017-09-10,71,False
2017-09-17,74,False
2017-09-24,70,False
2017-10-01,71,False
2017-10-08,70,False
2017-10-15,68,False
2017-10-22,70,False
2017-10-29,73,False
2017-11-05,73,False
2017-11-12,70,False
2017-11-19,67,False
2017-11-26,72,False
2017-12-03,69,False
2017-12-10,70,False
2017-12-17,73,False
2017-12-24,70,False
2017-12-31,75,False
2018-01-07,72,False
2018-01-14,70,False
2018-01-21,67,False
2018-01-28,66,False
2018-02-04,68,False
2018-02-11,67,False
2018-02-18,70,False
2018-02-25,71,False
2018-03-04,74,False
2018-03-11,71,False
2018-03-18,72,False
2018-03-25,72,False
2018-04-01,72,False
2018-04-08,72,False
2018-04-15,69,False
2018-04-22,72,False
2018-04-29,75,False
2018-05-06,71,False
2018-05-13,73,False
2018-05-20,74,False
2018-05-27,73,False
2018-06-03,73,False
2018-06-10,71,False
2018-06-17,73,False
2018-06-24,75,False
2018-07-01,71,False
2018-07-08,72,False
2018-07-15,72,False
2018-07-22,73,False
2018-07-29,72,False
2018-08-05,73,False
2018-08-12,72,False
2018-08-19,69,False
2018-08-26,69,False
2018-09-02,70,False
2018-09-09,73,False
2018-09-16,72,False
2018-09-23,65,False
2018-09-30,67,False
2018-10-07,71,False
2018-10-14,69,False
2018-10-21,66,False
2018-10-28,66,False
2018-11-04,67,False
2018-11-11,68,False
2018-11-18,63,False
2018-11-25,66,False
2018-12-02,68,False
2018-12-09,65,False
2018-12-16,66,False
2018-12-23,65,False
2018-12-30,69,False
2019-01-06,65,False
2019-01-13,67,False
2019-01-20,64,False
2019-01-27,66,False
2019-02-03,64,False
2019-02-10,68,False
2019-02-17,67,False
2019-02-24,66,False
2019-03-03,68,False
2019-03-10,65,False
2019-03-17,68,False
2019-03-24,65,False
2019-03-31,68,False
2019-04-07,67,False
2019-04-14,68,False
2019-04-21,67,False
2019-04-28,68,False
2019-05-05,65,False
2019-05-12,69,False
2019-05-19,67,False
