date,MDT,isPartial
2016-10-02,71,False
2016-10-09,72,False
2016-10-16,75,False
2016-10-23,73,False
2016-10-30,64,False
2016-11-06,59,False
2016-11-13,67,False
2016-11-20,76,False
2016-11-27,67,False
2016-12-04,71,False
2016-12-11,58,False
2016-12-18,54,False
2016-12-25,54,False
2017-01-01,65,False
2017-01-08,68,False
2017-01-15,64,False
2017-01-22,69,False
2017-01-29,60,False
2017-02-05,73,False
2017-02-12,63,False
2017-02-19,54,False
2017-02-26,79,False
2017-03-05,73,False
2017-03-12,83,False
2017-03-19,85,False
2017-03-26,75,False
2017-04-02,82,False
2017-04-09,67,False
2017-04-16,76,False
2017-04-23,82,False
2017-04-30,73,False
2017-05-07,74,False
2017-05-14,77,False
2017-05-21,76,False
2017-05-28,71,False
2017-06-04,68,False
2017-06-11,72,False
2017-06-18,77,False
2017-06-25,74,False
2017-07-02,74,False
2017-07-09,66,False
2017-07-16,71,False
2017-07-23,70,False
2017-07-30,82,False
2017-08-06,74,False
2017-08-13,71,False
2017-08-20,73,False
2017-08-27,72,False
2017-09-03,73,False
2017-09-10,68,False
2017-09-17,67,False
2017-09-24,78,False
2017-10-01,79,False
2017-10-08,80,False
2017-10-15,78,False
2017-10-22,77,False
2017-10-29,78,False
2017-11-05,76,False
2017-11-12,65,False
2017-11-19,55,False
2017-11-26,69,False
2017-12-03,65,False
2017-12-10,65,False
2017-12-17,57,False
2017-12-24,51,False
2017-12-31,61,False
2018-01-07,81,False
2018-01-14,62,False
2018-01-21,70,False
2018-01-28,66,False
2018-02-04,73,False
2018-02-11,66,False
2018-02-18,63,False
2018-02-25,68,False
2018-03-04,70,False
2018-03-11,74,False
2018-03-18,76,False
2018-03-25,84,False
2018-04-01,68,False
2018-04-08,86,False
2018-04-15,67,False
2018-04-22,66,False
2018-04-29,75,False
2018-05-06,64,False
2018-05-13,81,False
2018-05-20,73,False
2018-05-27,92,False
2018-06-03,81,False
2018-06-10,79,False
2018-06-17,81,False
2018-06-24,75,False
2018-07-01,59,False
2018-07-08,93,False
2018-07-15,88,False
2018-07-22,73,False
2018-07-29,80,False
2018-08-05,86,False
2018-08-12,78,False
2018-08-19,84,False
2018-08-26,72,False
2018-09-02,70,False
2018-09-09,85,False
2018-09-16,76,False
2018-09-23,80,False
2018-09-30,69,False
2018-10-07,69,False
2018-10-14,76,False
2018-10-21,80,False
2018-10-28,82,False
2018-11-04,76,False
2018-11-11,69,False
2018-11-18,64,False
2018-11-25,65,False
2018-12-02,75,False
2018-12-09,65,False
2018-12-16,74,False
2018-12-23,46,False
2018-12-30,55,False
2019-01-06,81,False
2019-01-13,69,False
2019-01-20,70,False
2019-01-27,74,False
2019-02-03,77,False
2019-02-10,70,False
2019-02-17,72,False
2019-02-24,73,False
2019-03-03,59,False
2019-03-10,79,False
2019-03-17,73,False
2019-03-24,73,False
2019-03-31,87,False
2019-04-07,84,False
2019-04-14,81,False
2019-04-21,78,False
2019-04-28,83,False
2019-05-05,74,False
2019-05-12,78,False
2019-05-19,76,False
2019-05-26,75,False
2019-06-02,82,False
2019-06-09,84,False
2019-06-16,80,False
2019-06-23,77,False
2019-06-30,72,False
2019-07-07,75,False
2019-07-14,86,False
2019-07-21,70,False
2019-07-28,68,False
2019-08-04,66,False
2019-08-11,87,False
2019-08-18,88,False
2019-08-25,79,False
2019-09-01,76,False
2019-09-08,83,False
2019-09-15,86,False
2019-09-22,74,False
2019-09-29,78,False
2019-10-06,90,False
2019-10-13,74,False
2019-10-20,78,False
2019-10-27,77,False
2019-11-03,72,False
2019-11-10,77,False
2019-11-17,78,False
2019-11-24,71,False
2019-12-01,76,False
2019-12-08,75,False
2019-12-15,62,False
2019-12-22,48,False
2019-12-29,58,False
2020-01-05,66,False
2020-01-12,70,False
2020-01-19,70,False
2020-01-26,83,False
2020-02-02,81,False
2020-02-09,79,False
2020-02-16,69,False
2020-02-23,74,False
2020-03-01,73,False
2020-03-08,81,False
2020-03-15,74,False
2020-03-22,79,False
2020-03-29,86,False
2020-04-05,82,False
2020-04-12,81,False
2020-04-19,89,False
2020-04-26,83,False
2020-05-03,75,False
2020-05-10,78,False
2020-05-17,90,False
2020-05-24,82,False
2020-05-31,92,False
2020-06-07,82,False
2020-06-14,87,False
2020-06-21,91,False
2020-06-28,80,False
2020-07-05,77,False
2020-07-12,83,False
2020-07-19,89,False
2020-07-26,81,False
2020-08-02,79,False
2020-08-09,88,False
2020-08-16,83,False
2020-08-23,88,False
2020-08-30,76,False
2020-09-06,88,False
2020-09-13,79,False
2020-09-20,84,False
2020-09-27,87,False
2020-10-04,86,False
2020-10-11,80,False
2020-10-18,82,False
2020-10-25,63,False
2020-11-01,66,False
2020-11-08,63,False
2020-11-15,72,False
2020-11-22,65,False
2020-11-29,52,False
2020-12-06,76,False
2020-12-13,61,False
2020-12-20,67,False
2020-12-27,67,False
2021-01-03,65,False
2021-01-10,78,False
2021-01-17,62,False
2021-01-24,67,False
2021-01-31,71,False
2021-02-07,73,False
2021-02-14,66,False
2021-02-21,62,False
2021-02-28,63,False
2021-03-07,68,False
2021-03-14,91,False
2021-03-21,100,False
2021-03-28,87,False
2021-04-04,72,False
2021-04-11,92,False
2021-04-18,87,False
2021-04-25,83,False
2021-05-02,82,False
2021-05-09,78,False
2021-05-16,86,False
2021-05-23,86,False
2021-05-30,84,False
2021-06-06,83,False
2021-06-13,79,False
2021-06-20,76,False
2021-06-27,76,False
