date,MMM,isPartial
2016-08-28,39,False
2016-09-04,41,False
2016-09-11,39,False
2016-09-18,46,False
2016-09-25,53,False
2016-10-02,51,False
2016-10-09,58,False
2016-10-16,58,False
2016-10-23,70,False
2016-10-30,76,False
2016-11-06,84,False
2016-11-13,88,False
2016-11-20,89,False
2016-11-27,97,False
2016-12-04,97,False
2016-12-11,100,False
2016-12-18,47,False
2016-12-25,40,False
2017-01-01,44,False
2017-01-08,66,False
2017-01-15,71,False
2017-01-22,57,False
2017-01-29,49,False
2017-02-05,37,False
2017-02-12,34,False
2017-02-19,35,False
2017-02-26,31,False
2017-03-05,28,False
2017-03-12,28,False
2017-03-19,30,False
2017-03-26,29,False
2017-04-02,30,False
2017-04-09,29,False
2017-04-16,29,False
2017-04-23,30,False
2017-04-30,28,False
2017-05-07,26,False
2017-05-14,28,False
2017-05-21,28,False
2017-05-28,26,False
2017-06-04,28,False
2017-06-11,30,False
2017-06-18,28,False
2017-06-25,29,False
2017-07-02,32,False
2017-07-09,33,False
2017-07-16,33,False
2017-07-23,32,False
2017-07-30,29,False
2017-08-06,31,False
2017-08-13,27,False
2017-08-20,26,False
2017-08-27,26,False
2017-09-03,24,False
2017-09-10,27,False
2017-09-17,28,False
2017-09-24,30,False
2017-10-01,27,False
2017-10-08,26,False
2017-10-15,29,False
2017-10-22,27,False
2017-10-29,26,False
2017-11-05,28,False
2017-11-12,24,False
2017-11-19,23,False
2017-11-26,24,False
2017-12-03,26,False
2017-12-10,23,False
2017-12-17,21,False
2017-12-24,20,False
2017-12-31,23,False
2018-01-07,22,False
2018-01-14,21,False
2018-01-21,22,False
2018-01-28,20,False
2018-02-04,20,False
2018-02-11,18,False
2018-02-18,19,False
2018-02-25,20,False
2018-03-04,20,False
2018-03-11,19,False
2018-03-18,20,False
2018-03-25,23,False
2018-04-01,22,False
2018-04-08,17,False
2018-04-15,16,False
2018-04-22,17,False
2018-04-29,18,False
2018-05-06,19,False
2018-05-13,18,False
2018-05-20,17,False
2018-05-27,19,False
2018-06-03,17,False
2018-06-10,18,False
2018-06-17,19,False
2018-06-24,18,False
2018-07-01,19,False
2018-07-08,18,False
2018-07-15,19,False
2018-07-22,18,False
2018-07-29,17,False
2018-08-05,19,False
2018-08-12,18,False
2018-08-19,18,False
2018-08-26,18,False
2018-09-02,18,False
2018-09-09,18,False
2018-09-16,16,False
2018-09-23,17,False
2018-09-30,19,False
2018-10-07,20,False
2018-10-14,18,False
2018-10-21,18,False
2018-10-28,18,False
2018-11-04,18,False
2018-11-11,18,False
2018-11-18,16,False
2018-11-25,17,False
2018-12-02,16,False
2018-12-09,15,False
2018-12-16,18,False
2018-12-23,17,False
2018-12-30,19,False
2019-01-06,16,False
2019-01-13,18,False
2019-01-20,18,False
2019-01-27,20,False
2019-02-03,19,False
2019-02-10,19,False
2019-02-17,18,False
2019-02-24,17,False
2019-03-03,18,False
2019-03-10,17,False
2019-03-17,18,False
2019-03-24,19,False
2019-03-31,18,False
2019-04-07,17,False
2019-04-14,18,False
2019-04-21,22,False
2019-04-28,20,False
2019-05-05,18,False
2019-05-12,20,False
2019-05-19,18,False
2019-05-26,18,False
2019-06-02,18,False
2019-06-09,17,False
2019-06-16,20,False
2019-06-23,20,False
2019-06-30,18,False
2019-07-07,19,False
2019-07-14,20,False
2019-07-21,20,False
2019-07-28,17,False
2019-08-04,19,False
2019-08-11,17,False
2019-08-18,18,False
2019-08-25,18,False
2019-09-01,18,False
2019-09-08,17,False
2019-09-15,18,False
2019-09-22,16,False
2019-09-29,18,False
2019-10-06,20,False
2019-10-13,17,False
2019-10-20,17,False
2019-10-27,18,False
2019-11-03,18,False
2019-11-10,18,False
2019-11-17,17,False
2019-11-24,15,False
2019-12-01,14,False
2019-12-08,16,False
2019-12-15,16,False
2019-12-22,16,False
2019-12-29,16,False
2020-01-05,17,False
2020-01-12,18,False
2020-01-19,16,False
2020-01-26,18,False
2020-02-02,17,False
2020-02-09,20,False
2020-02-16,17,False
2020-02-23,21,False
2020-03-01,20,False
2020-03-08,19,False
2020-03-15,17,False
2020-03-22,19,False
2020-03-29,19,False
2020-04-05,18,False
2020-04-12,18,False
2020-04-19,18,False
2020-04-26,18,False
2020-05-03,17,False
2020-05-10,18,False
2020-05-17,18,False
2020-05-24,17,False
2020-05-31,18,False
2020-06-07,19,False
2020-06-14,17,False
2020-06-21,18,False
2020-06-28,17,False
2020-07-05,16,False
2020-07-12,18,False
2020-07-19,18,False
2020-07-26,22,False
2020-08-02,18,False
2020-08-09,18,False
2020-08-16,19,False
2020-08-23,18,False
2020-08-30,18,False
2020-09-06,19,False
2020-09-13,18,False
2020-09-20,18,False
2020-09-27,17,False
2020-10-04,18,False
2020-10-11,16,False
2020-10-18,16,False
2020-10-25,19,False
2020-11-01,17,False
2020-11-08,21,False
2020-11-15,18,False
2020-11-22,17,False
2020-11-29,17,False
2020-12-06,18,False
2020-12-13,18,False
2020-12-20,15,False
2020-12-27,16,False
2021-01-03,17,False
2021-01-10,16,False
2021-01-17,18,False
2021-01-24,20,False
2021-01-31,18,False
2021-02-07,18,False
2021-02-14,18,False
2021-02-21,17,False
2021-02-28,18,False
2021-03-07,20,False
2021-03-14,20,False
2021-03-21,19,False
2021-03-28,19,False
2021-04-04,18,False
2021-04-11,19,False
2021-04-18,18,False
2021-04-25,19,False
