date,MO,isPartial
2016-10-09,88,False
2016-10-16,88,False
2016-10-23,86,False
2016-10-30,83,False
2016-11-06,86,False
2016-11-13,81,False
2016-11-20,77,False
2016-11-27,81,False
2016-12-04,79,False
2016-12-11,83,False
2016-12-18,84,False
2016-12-25,84,False
2017-01-01,86,False
2017-01-08,83,False
2017-01-15,80,False
2017-01-22,81,False
2017-01-29,82,False
2017-02-05,83,False
2017-02-12,85,False
2017-02-19,89,False
2017-02-26,90,False
2017-03-05,93,False
2017-03-12,89,False
2017-03-19,92,False
2017-03-26,93,False
2017-04-02,90,False
2017-04-09,92,False
2017-04-16,90,False
2017-04-23,90,False
2017-04-30,94,False
2017-05-07,88,False
2017-05-14,85,False
2017-05-21,92,False
2017-05-28,88,False
2017-06-04,89,False
2017-06-11,92,False
2017-06-18,92,False
2017-06-25,96,False
2017-07-02,90,False
2017-07-09,91,False
2017-07-16,93,False
2017-07-23,90,False
2017-07-30,100,False
2017-08-06,98,False
2017-08-13,96,False
2017-08-20,91,False
2017-08-27,82,False
2017-09-03,82,False
2017-09-10,79,False
2017-09-17,84,False
2017-09-24,84,False
2017-10-01,83,False
2017-10-08,85,False
2017-10-15,82,False
2017-10-22,79,False
2017-10-29,81,False
2017-11-05,78,False
2017-11-12,81,False
2017-11-19,74,False
2017-11-26,81,False
2017-12-03,79,False
2017-12-10,78,False
2017-12-17,84,False
2017-12-24,80,False
2017-12-31,86,False
2018-01-07,85,False
2018-01-14,86,False
2018-01-21,82,False
2018-01-28,81,False
2018-02-04,83,False
2018-02-11,82,False
2018-02-18,85,False
2018-02-25,85,False
2018-03-04,87,False
2018-03-11,89,False
2018-03-18,87,False
2018-03-25,88,False
2018-04-01,91,False
2018-04-08,88,False
2018-04-15,84,False
2018-04-22,93,False
2018-04-29,88,False
2018-05-06,82,False
2018-05-13,85,False
2018-05-20,89,False
2018-05-27,91,False
2018-06-03,84,False
2018-06-10,90,False
2018-06-17,89,False
2018-06-24,88,False
2018-07-01,88,False
2018-07-08,89,False
2018-07-15,91,False
2018-07-22,90,False
2018-07-29,88,False
2018-08-05,90,False
2018-08-12,85,False
2018-08-19,84,False
2018-08-26,81,False
2018-09-02,78,False
2018-09-09,80,False
2018-09-16,81,False
2018-09-23,82,False
2018-09-30,82,False
2018-10-07,81,False
2018-10-14,84,False
2018-10-21,81,False
2018-10-28,80,False
2018-11-04,84,False
2018-11-11,80,False
2018-11-18,75,False
2018-11-25,80,False
2018-12-02,79,False
2018-12-09,79,False
2018-12-16,81,False
2018-12-23,81,False
2018-12-30,86,False
2019-01-06,81,False
2019-01-13,83,False
2019-01-20,80,False
2019-01-27,80,False
2019-02-03,80,False
2019-02-10,83,False
2019-02-17,78,False
2019-02-24,86,False
2019-03-03,85,False
2019-03-10,82,False
2019-03-17,85,False
2019-03-24,82,False
2019-03-31,82,False
2019-04-07,80,False
2019-04-14,83,False
2019-04-21,80,False
2019-04-28,85,False
2019-05-05,80,False
2019-05-12,79,False
2019-05-19,88,False
2019-05-26,81,False
2019-06-02,82,False
2019-06-09,81,False
2019-06-16,83,False
2019-06-23,82,False
2019-06-30,83,False
2019-07-07,83,False
