date,MRK,isPartial
2016-09-25,29,False
2016-10-02,47,False
2016-10-09,42,False
2016-10-16,43,False
2016-10-23,43,False
2016-10-30,39,False
2016-11-06,51,False
2016-11-13,44,False
2016-11-20,36,False
2016-11-27,47,False
2016-12-04,30,False
2016-12-11,47,False
2016-12-18,35,False
2016-12-25,45,False
2017-01-01,41,False
2017-01-08,62,False
2017-01-15,42,False
2017-01-22,61,False
2017-01-29,39,False
2017-02-05,37,False
2017-02-12,53,False
2017-02-19,46,False
2017-02-26,56,False
2017-03-05,47,False
2017-03-12,39,False
2017-03-19,40,False
2017-03-26,36,False
2017-04-02,41,False
2017-04-09,46,False
2017-04-16,43,False
2017-04-23,49,False
2017-04-30,37,False
2017-05-07,49,False
2017-05-14,45,False
2017-05-21,41,False
2017-05-28,35,False
2017-06-04,48,False
2017-06-11,41,False
2017-06-18,41,False
2017-06-25,45,False
2017-07-02,31,False
2017-07-09,37,False
2017-07-16,50,False
2017-07-23,36,False
2017-07-30,39,False
2017-08-06,55,False
2017-08-13,39,False
2017-08-20,51,False
2017-08-27,36,False
2017-09-03,39,False
2017-09-10,46,False
2017-09-17,43,False
2017-09-24,37,False
2017-10-01,35,False
2017-10-08,40,False
2017-10-15,42,False
2017-10-22,41,False
2017-10-29,44,False
2017-11-05,39,False
2017-11-12,57,False
2017-11-19,34,False
2017-11-26,47,False
2017-12-03,51,False
2017-12-10,57,False
2017-12-17,49,False
2017-12-24,41,False
2017-12-31,45,False
2018-01-07,48,False
2018-01-14,55,False
2018-01-21,63,False
2018-01-28,58,False
2018-02-04,52,False
2018-02-11,48,False
2018-02-18,45,False
2018-02-25,50,False
2018-03-04,37,False
2018-03-11,40,False
2018-03-18,45,False
2018-03-25,36,False
2018-04-01,35,False
2018-04-08,52,False
2018-04-15,55,False
2018-04-22,52,False
2018-04-29,50,False
2018-05-06,50,False
2018-05-13,34,False
2018-05-20,35,False
2018-05-27,37,False
2018-06-03,43,False
2018-06-10,40,False
2018-06-17,35,False
2018-06-24,41,False
2018-07-01,41,False
2018-07-08,45,False
2018-07-15,43,False
2018-07-22,100,False
2018-07-29,46,False
2018-08-05,41,False
2018-08-12,41,False
2018-08-19,31,False
2018-08-26,44,False
2018-09-02,39,False
2018-09-09,51,False
2018-09-16,44,False
2018-09-23,32,False
2018-09-30,47,False
2018-10-07,43,False
2018-10-14,39,False
2018-10-21,38,False
2018-10-28,47,False
2018-11-04,39,False
2018-11-11,51,False
2018-11-18,43,False
2018-11-25,52,False
2018-12-02,46,False
