date,MS,isPartial
2016-09-25,83,False
2016-10-02,100,False
2016-10-09,70,False
2016-10-16,63,False
2016-10-23,63,False
2016-10-30,60,False
2016-11-06,55,False
2016-11-13,55,False
2016-11-20,52,False
2016-11-27,55,False
2016-12-04,53,False
2016-12-11,53,False
2016-12-18,52,False
2016-12-25,51,False
2017-01-01,57,False
2017-01-08,56,False
2017-01-15,56,False
2017-01-22,58,False
2017-01-29,60,False
2017-02-05,55,False
2017-02-12,56,False
2017-02-19,57,False
2017-02-26,58,False
2017-03-05,56,False
2017-03-12,57,False
2017-03-19,58,False
2017-03-26,56,False
2017-04-02,57,False
2017-04-09,55,False
2017-04-16,56,False
2017-04-23,56,False
2017-04-30,59,False
2017-05-07,61,False
2017-05-14,61,False
2017-05-21,55,False
2017-05-28,56,False
2017-06-04,53,False
2017-06-11,54,False
2017-06-18,56,False
2017-06-25,56,False
2017-07-02,57,False
2017-07-09,56,False
2017-07-16,55,False
2017-07-23,55,False
2017-07-30,55,False
2017-08-06,54,False
2017-08-13,52,False
2017-08-20,53,False
2017-08-27,52,False
2017-09-03,51,False
2017-09-10,52,False
2017-09-17,52,False
2017-09-24,52,False
2017-10-01,54,False
2017-10-08,53,False
2017-10-15,51,False
2017-10-22,53,False
2017-10-29,53,False
2017-11-05,53,False
2017-11-12,52,False
2017-11-19,50,False
2017-11-26,52,False
2017-12-03,51,False
2017-12-10,51,False
2017-12-17,49,False
2017-12-24,47,False
2017-12-31,52,False
2018-01-07,52,False
2018-01-14,53,False
2018-01-21,50,False
2018-01-28,53,False
2018-02-04,52,False
2018-02-11,52,False
2018-02-18,52,False
2018-02-25,53,False
2018-03-04,54,False
2018-03-11,52,False
2018-03-18,52,False
2018-03-25,52,False
2018-04-01,53,False
2018-04-08,54,False
2018-04-15,52,False
2018-04-22,54,False
2018-04-29,56,False
2018-05-06,63,False
2018-05-13,60,False
2018-05-20,55,False
2018-05-27,53,False
2018-06-03,52,False
2018-06-10,55,False
2018-06-17,58,False
2018-06-24,58,False
2018-07-01,59,False
2018-07-08,57,False
2018-07-15,57,False
2018-07-22,54,False
2018-07-29,54,False
2018-08-05,55,False
2018-08-12,53,False
2018-08-19,53,False
2018-08-26,53,False
2018-09-02,52,False
2018-09-09,53,False
2018-09-16,53,False
2018-09-23,57,False
2018-09-30,57,False
2018-10-07,59,False
2018-10-14,55,False
2018-10-21,53,False
2018-10-28,53,False
2018-11-04,50,False
2018-11-11,49,False
2018-11-18,48,False
2018-11-25,54,False
2018-12-02,52,False
2018-12-09,49,False
2018-12-16,52,False
2018-12-23,45,False
2018-12-30,48,False
2019-01-06,51,False
2019-01-13,50,False
2019-01-20,50,False
2019-01-27,52,False
2019-02-03,50,False
2019-02-10,50,False
2019-02-17,52,False
2019-02-24,57,False
2019-03-03,54,False
2019-03-10,53,False
2019-03-17,52,False
2019-03-24,52,False
2019-03-31,51,False
2019-04-07,53,False
2019-04-14,50,False
2019-04-21,52,False
2019-04-28,53,False
2019-05-05,59,False
2019-05-12,61,False
2019-05-19,60,False
2019-05-26,51,False
2019-06-02,50,False
2019-06-09,50,False
