date,ORCL,isPartial
2016-09-04,10,False
2016-09-11,31,False
2016-09-18,23,False
2016-09-25,12,False
2016-10-02,14,False
2016-10-09,11,False
2016-10-16,12,False
2016-10-23,13,False
2016-10-30,19,False
2016-11-06,26,False
2016-11-13,15,False
2016-11-20,13,False
2016-11-27,18,False
2016-12-04,18,False
2016-12-11,32,False
2016-12-18,16,False
2016-12-25,10,False
2017-01-01,14,False
2017-01-08,10,False
2017-01-15,14,False
2017-01-22,13,False
2017-01-29,16,False
2017-02-05,17,False
2017-02-12,18,False
2017-02-19,22,False
2017-02-26,19,False
2017-03-05,16,False
2017-03-12,48,False
2017-03-19,21,False
2017-03-26,16,False
2017-04-02,18,False
2017-04-09,13,False
2017-04-16,18,False
2017-04-23,18,False
2017-04-30,7,False
2017-05-07,19,False
2017-05-14,24,False
2017-05-21,15,False
2017-05-28,10,False
2017-06-04,17,False
2017-06-11,25,False
2017-06-18,72,False
2017-06-25,34,False
2017-07-02,23,False
2017-07-09,33,False
2017-07-16,21,False
2017-07-23,22,False
2017-07-30,19,False
2017-08-06,19,False
2017-08-13,15,False
2017-08-20,16,False
2017-08-27,17,False
2017-09-03,18,False
2017-09-10,65,False
2017-09-17,38,False
2017-09-24,28,False
2017-10-01,22,False
2017-10-08,23,False
2017-10-15,20,False
2017-10-22,19,False
2017-10-29,17,False
2017-11-05,18,False
2017-11-12,23,False
2017-11-19,14,False
2017-11-26,23,False
2017-12-03,18,False
2017-12-10,44,False
2017-12-17,27,False
2017-12-24,18,False
2017-12-31,16,False
2018-01-07,24,False
2018-01-14,20,False
2018-01-21,23,False
2018-01-28,25,False
2018-02-04,27,False
2018-02-11,21,False
2018-02-18,12,False
2018-02-25,15,False
2018-03-04,29,False
2018-03-11,36,False
2018-03-18,63,False
2018-03-25,36,False
2018-04-01,27,False
2018-04-08,23,False
2018-04-15,23,False
2018-04-22,21,False
2018-04-29,19,False
2018-05-06,14,False
2018-05-13,18,False
2018-05-20,24,False
2018-05-27,19,False
2018-06-03,23,False
2018-06-10,33,False
2018-06-17,55,False
2018-06-24,20,False
2018-07-01,22,False
2018-07-08,26,False
2018-07-15,18,False
2018-07-22,22,False
2018-07-29,25,False
2018-08-05,26,False
2018-08-12,24,False
2018-08-19,21,False
2018-08-26,22,False
2018-09-02,16,False
2018-09-09,21,False
2018-09-16,60,False
2018-09-23,23,False
2018-09-30,26,False
2018-10-07,19,False
2018-10-14,21,False
2018-10-21,17,False
2018-10-28,17,False
2018-11-04,23,False
2018-11-11,29,False
2018-11-18,23,False
2018-11-25,14,False
2018-12-02,26,False
2018-12-09,17,False
2018-12-16,45,False
2018-12-23,16,False
2018-12-30,15,False
2019-01-06,23,False
2019-01-13,21,False
2019-01-20,11,False
2019-01-27,13,False
2019-02-03,27,False
2019-02-10,26,False
2019-02-17,27,False
2019-02-24,27,False
2019-03-03,15,False
2019-03-10,46,False
2019-03-17,28,False
2019-03-24,25,False
2019-03-31,23,False
2019-04-07,20,False
2019-04-14,13,False
2019-04-21,14,False
2019-04-28,22,False
2019-05-05,14,False
2019-05-12,18,False
2019-05-19,16,False
2019-05-26,12,False
2019-06-02,19,False
2019-06-09,25,False
2019-06-16,42,False
2019-06-23,29,False
2019-06-30,30,False
2019-07-07,37,False
2019-07-14,24,False
2019-07-21,25,False
2019-07-28,20,False
2019-08-04,17,False
2019-08-11,18,False
2019-08-18,18,False
2019-08-25,12,False
2019-09-01,17,False
2019-09-08,45,False
2019-09-15,24,False
2019-09-22,17,False
2019-09-29,12,False
2019-10-06,21,False
2019-10-13,27,False
2019-10-20,15,False
2019-10-27,12,False
2019-11-03,23,False
2019-11-10,15,False
2019-11-17,10,False
2019-11-24,8,False
2019-12-01,12,False
2019-12-08,20,False
2019-12-15,20,False
2019-12-22,10,False
2019-12-29,12,False
2020-01-05,16,False
2020-01-12,19,False
2020-01-19,13,False
2020-01-26,16,False
2020-02-02,15,False
2020-02-09,17,False
2020-02-16,17,False
2020-02-23,20,False
2020-03-01,23,False
2020-03-08,44,False
2020-03-15,30,False
2020-03-22,25,False
2020-03-29,17,False
2020-04-05,21,False
2020-04-12,19,False
2020-04-19,15,False
2020-04-26,20,False
2020-05-03,15,False
2020-05-10,20,False
2020-05-17,13,False
2020-05-24,18,False
2020-05-31,15,False
2020-06-07,19,False
2020-06-14,40,False
2020-06-21,26,False
2020-06-28,23,False
2020-07-05,26,False
2020-07-12,17,False
2020-07-19,16,False
2020-07-26,15,False
2020-08-02,17,False
2020-08-09,16,False
2020-08-16,25,False
2020-08-23,29,False
2020-08-30,30,False
2020-09-06,41,False
2020-09-13,100,False
2020-09-20,54,False
2020-09-27,21,False
2020-10-04,23,False
2020-10-11,15,False
2020-10-18,11,False
2020-10-25,18,False
2020-11-01,14,False
2020-11-08,15,False
2020-11-15,15,False
2020-11-22,11,False
2020-11-29,13,False
2020-12-06,18,False
2020-12-13,26,False
2020-12-20,23,False
2020-12-27,17,False
2021-01-03,14,False
2021-01-10,13,False
2021-01-17,16,False
2021-01-24,15,False
2021-01-31,15,False
2021-02-07,14,False
2021-02-14,12,False
2021-02-21,26,False
2021-02-28,25,False
2021-03-07,41,False
2021-03-14,21,False
2021-03-21,16,False
2021-03-28,22,False
2021-04-04,24,False
2021-04-11,23,False
2021-04-18,26,False
2021-04-25,21,False
2021-05-02,25,False
2021-05-09,25,False
2021-05-16,15,False
2021-05-23,11,False
2021-05-30,20,False
2021-06-06,30,False
2021-06-13,43,False
2021-06-20,24,False
2021-06-27,24,False
2021-07-04,28,False
2021-07-11,28,False
2021-07-18,29,False
2021-07-25,27,False
2021-08-01,31,False
2021-08-08,23,False
2021-08-15,18,False
2021-08-22,22,True
