date,PG,isPartial
2016-10-02,55,False
2016-10-09,57,False
2016-10-16,57,False
2016-10-23,54,False
2016-10-30,54,False
2016-11-06,54,False
2016-11-13,53,False
2016-11-20,52,False
2016-11-27,59,False
2016-12-04,54,False
2016-12-11,55,False
2016-12-18,52,False
2016-12-25,49,False
2017-01-01,55,False
2017-01-08,71,False
2017-01-15,63,False
2017-01-22,58,False
2017-01-29,60,False
2017-02-05,58,False
2017-02-12,58,False
2017-02-19,64,False
2017-02-26,63,False
2017-03-05,67,False
2017-03-12,64,False
2017-03-19,63,False
2017-03-26,60,False
2017-04-02,64,False
2017-04-09,65,False
2017-04-16,66,False
2017-04-23,63,False
2017-04-30,72,False
2017-05-07,68,False
2017-05-14,72,False
2017-05-21,71,False
2017-05-28,74,False
2017-06-04,76,False
2017-06-11,80,False
2017-06-18,77,False
2017-06-25,84,False
2017-07-02,89,False
2017-07-09,84,False
2017-07-16,86,False
2017-07-23,74,False
2017-07-30,69,False
2017-08-06,67,False
2017-08-13,65,False
2017-08-20,62,False
2017-08-27,62,False
2017-09-03,64,False
2017-09-10,66,False
2017-09-17,65,False
2017-09-24,65,False
2017-10-01,66,False
2017-10-08,64,False
2017-10-15,61,False
2017-10-22,64,False
2017-10-29,67,False
2017-11-05,61,False
2017-11-12,62,False
2017-11-19,60,False
2017-11-26,63,False
2017-12-03,58,False
2017-12-10,59,False
2017-12-17,57,False
2017-12-24,54,False
2017-12-31,67,False
2018-01-07,71,False
2018-01-14,63,False
2018-01-21,87,False
2018-01-28,67,False
2018-02-04,68,False
2018-02-11,71,False
2018-02-18,71,False
2018-02-25,68,False
2018-03-04,68,False
2018-03-11,65,False
2018-03-18,70,False
2018-03-25,70,False
2018-04-01,68,False
2018-04-08,68,False
2018-04-15,68,False
2018-04-22,69,False
2018-04-29,74,False
2018-05-06,75,False
2018-05-13,74,False
2018-05-20,77,False
2018-05-27,78,False
2018-06-03,83,False
2018-06-10,82,False
2018-06-17,83,False
2018-06-24,85,False
2018-07-01,88,False
2018-07-08,88,False
2018-07-15,80,False
2018-07-22,78,False
2018-07-29,77,False
2018-08-05,71,False
2018-08-12,67,False
2018-08-19,67,False
2018-08-26,68,False
2018-09-02,67,False
2018-09-09,63,False
2018-09-16,65,False
2018-09-23,62,False
2018-09-30,66,False
2018-10-07,61,False
2018-10-14,60,False
2018-10-21,63,False
2018-10-28,67,False
2018-11-04,61,False
2018-11-11,69,False
2018-11-18,72,False
2018-11-25,68,False
2018-12-02,63,False
2018-12-09,65,False
2018-12-16,63,False
2018-12-23,57,False
2018-12-30,63,False
2019-01-06,65,False
2019-01-13,69,False
2019-01-20,68,False
2019-01-27,91,False
2019-02-03,67,False
2019-02-10,68,False
2019-02-17,72,False
2019-02-24,70,False
2019-03-03,66,False
2019-03-10,70,False
2019-03-17,70,False
2019-03-24,70,False
2019-03-31,75,False
2019-04-07,73,False
2019-04-14,71,False
2019-04-21,71,False
2019-04-28,73,False
2019-05-05,76,False
2019-05-12,81,False
2019-05-19,77,False
2019-05-26,83,False
2019-06-02,90,False
2019-06-09,92,False
2019-06-16,91,False
2019-06-23,92,False
2019-06-30,91,False
2019-07-07,89,False
2019-07-14,95,False
2019-07-21,89,False
2019-07-28,86,False
2019-08-04,71,False
2019-08-11,68,False
2019-08-18,72,False
2019-08-25,71,False
2019-09-01,67,False
2019-09-08,69,False
2019-09-15,71,False
2019-09-22,69,False
2019-09-29,64,False
2019-10-06,75,False
2019-10-13,66,False
2019-10-20,63,False
2019-10-27,73,False
2019-11-03,67,False
2019-11-10,66,False
2019-11-17,68,False
2019-11-24,65,False
2019-12-01,65,False
2019-12-08,62,False
2019-12-15,63,False
2019-12-22,59,False
2019-12-29,69,False
2020-01-05,69,False
2020-01-12,66,False
2020-01-19,67,False
2020-01-26,84,False
2020-02-02,74,False
2020-02-09,68,False
2020-02-16,71,False
2020-02-23,69,False
2020-03-01,70,False
2020-03-08,70,False
2020-03-15,71,False
2020-03-22,54,False
2020-03-29,51,False
2020-04-05,55,False
2020-04-12,58,False
2020-04-19,57,False
2020-04-26,57,False
2020-05-03,56,False
2020-05-10,60,False
2020-05-17,58,False
2020-05-24,60,False
2020-05-31,63,False
2020-06-07,66,False
2020-06-14,64,False
2020-06-21,67,False
2020-06-28,65,False
2020-07-05,59,False
2020-07-12,65,False
2020-07-19,63,False
2020-07-26,64,False
2020-08-02,60,False
2020-08-09,64,False
2020-08-16,68,False
2020-08-23,72,False
2020-08-30,69,False
2020-09-06,73,False
2020-09-13,76,False
2020-09-20,71,False
2020-09-27,76,False
2020-10-04,77,False
2020-10-11,75,False
2020-10-18,71,False
2020-10-25,75,False
2020-11-01,72,False
2020-11-08,73,False
2020-11-15,80,False
2020-11-22,77,False
2020-11-29,71,False
2020-12-06,75,False
2020-12-13,71,False
2020-12-20,69,False
2020-12-27,69,False
2021-01-03,74,False
2021-01-10,68,False
2021-01-17,74,False
2021-01-24,72,False
2021-01-31,75,False
2021-02-07,73,False
2021-02-14,78,False
2021-02-21,84,False
2021-02-28,78,False
2021-03-07,72,False
2021-03-14,73,False
2021-03-21,71,False
2021-03-28,70,False
2021-04-04,71,False
2021-04-11,80,False
2021-04-18,69,False
2021-04-25,63,False
2021-05-02,63,False
2021-05-09,63,False
2021-05-16,60,False
2021-05-23,70,False
2021-05-30,68,False
2021-06-06,71,False
2021-06-13,72,False
2021-06-20,74,False
2021-06-27,77,False
2021-07-04,76,False
2021-07-11,81,False
2021-07-18,78,False
2021-07-25,85,False
2021-08-01,93,False
2021-08-08,91,False
2021-08-15,88,False
2021-08-22,93,False
2021-08-29,88,False
2021-09-05,100,False
2021-09-12,99,False
2021-09-19,99,True
