date,PYPL,isPartial
2016-09-18,14,False
2016-09-25,14,False
2016-10-02,9,False
2016-10-09,9,False
2016-10-16,16,False
2016-10-23,11,False
2016-10-30,12,False
2016-11-06,14,False
2016-11-13,6,False
2016-11-20,9,False
2016-11-27,10,False
2016-12-04,8,False
2016-12-11,11,False
2016-12-18,7,False
2016-12-25,11,False
2017-01-01,10,False
2017-01-08,12,False
2017-01-15,7,False
2017-01-22,22,False
2017-01-29,17,False
2017-02-05,9,False
2017-02-12,7,False
2017-02-19,11,False
2017-02-26,13,False
2017-03-05,8,False
2017-03-12,6,False
2017-03-19,6,False
2017-03-26,12,False
2017-04-02,7,False
2017-04-09,16,False
2017-04-16,9,False
2017-04-23,24,False
2017-04-30,24,False
2017-05-07,15,False
2017-05-14,13,False
2017-05-21,16,False
2017-05-28,9,False
2017-06-04,19,False
2017-06-11,9,False
2017-06-18,10,False
2017-06-25,14,False
2017-07-02,12,False
2017-07-09,24,False
2017-07-16,23,False
2017-07-23,45,False
2017-07-30,14,False
2017-08-06,16,False
2017-08-13,17,False
2017-08-20,17,False
2017-08-27,17,False
2017-09-03,14,False
2017-09-10,14,False
2017-09-17,22,False
2017-09-24,14,False
2017-10-01,14,False
2017-10-08,29,False
2017-10-15,57,False
2017-10-22,34,False
2017-10-29,32,False
2017-11-05,33,False
2017-11-12,37,False
2017-11-19,34,False
2017-11-26,43,False
2017-12-03,49,False
2017-12-10,29,False
2017-12-17,32,False
2017-12-24,20,False
2017-12-31,26,False
2018-01-07,34,False
2018-01-14,25,False
2018-01-21,36,False
2018-01-28,83,False
2018-02-04,43,False
2018-02-11,36,False
2018-02-18,16,False
2018-02-25,28,False
2018-03-04,28,False
2018-03-11,28,False
2018-03-18,20,False
2018-03-25,21,False
2018-04-01,29,False
2018-04-08,25,False
2018-04-15,22,False
2018-04-22,38,False
2018-04-29,32,False
2018-05-06,31,False
2018-05-13,43,False
2018-05-20,32,False
2018-05-27,21,False
2018-06-03,30,False
2018-06-10,31,False
2018-06-17,36,False
2018-06-24,26,False
2018-07-01,20,False
2018-07-08,36,False
2018-07-15,22,False
2018-07-22,64,False
2018-07-29,46,False
2018-08-05,28,False
2018-08-12,24,False
2018-08-19,26,False
2018-08-26,33,False
2018-09-02,31,False
2018-09-09,25,False
2018-09-16,24,False
2018-09-23,23,False
2018-09-30,29,False
2018-10-07,33,False
2018-10-14,67,False
2018-10-21,28,False
2018-10-28,27,False
2018-11-04,35,False
2018-11-11,26,False
2018-11-18,21,False
2018-11-25,29,False
2018-12-02,24,False
2018-12-09,27,False
2018-12-16,22,False
2018-12-23,25,False
2018-12-30,23,False
2019-01-06,30,False
2019-01-13,34,False
2019-01-20,26,False
2019-01-27,51,False
2019-02-03,25,False
2019-02-10,28,False
2019-02-17,29,False
2019-02-24,29,False
2019-03-03,30,False
2019-03-10,26,False
2019-03-17,31,False
2019-03-24,19,False
2019-03-31,23,False
2019-04-07,22,False
2019-04-14,20,False
2019-04-21,52,False
2019-04-28,37,False
2019-05-05,24,False
2019-05-12,40,False
2019-05-19,26,False
2019-05-26,20,False
2019-06-02,23,False
2019-06-09,25,False
2019-06-16,24,False
2019-06-23,18,False
2019-06-30,16,False
2019-07-07,24,False
2019-07-14,23,False
2019-07-21,43,False
2019-07-28,41,False
2019-08-04,25,False
2019-08-11,28,False
2019-08-18,25,False
2019-08-25,23,False
2019-09-01,16,False
2019-09-08,30,False
2019-09-15,20,False
2019-09-22,20,False
2019-09-29,24,False
2019-10-06,24,False
2019-10-13,27,False
2019-10-20,51,False
2019-10-27,34,False
2019-11-03,25,False
2019-11-10,25,False
2019-11-17,32,False
2019-11-24,22,False
2019-12-01,20,False
2019-12-08,23,False
2019-12-15,32,False
2019-12-22,21,False
2019-12-29,25,False
2020-01-05,24,False
2020-01-12,34,False
2020-01-19,33,False
2020-01-26,39,False
2020-02-02,26,False
2020-02-09,21,False
2020-02-16,31,False
2020-02-23,30,False
2020-03-01,35,False
2020-03-08,44,False
2020-03-15,33,False
2020-03-22,34,False
2020-03-29,25,False
2020-04-05,31,False
2020-04-12,32,False
2020-04-19,28,False
2020-04-26,36,False
2020-05-03,82,False
2020-05-10,49,False
2020-05-17,50,False
2020-05-24,32,False
2020-05-31,36,False
2020-06-07,36,False
2020-06-14,45,False
2020-06-21,43,False
2020-06-28,31,False
2020-07-05,50,False
2020-07-12,48,False
2020-07-19,39,False
2020-07-26,78,False
2020-08-02,67,False
2020-08-09,50,False
2020-08-16,46,False
2020-08-23,49,False
2020-08-30,53,False
2020-09-06,36,False
2020-09-13,49,False
2020-09-20,37,False
2020-09-27,42,False
2020-10-04,32,False
2020-10-11,37,False
2020-10-18,64,False
2020-10-25,51,False
2020-11-01,79,False
2020-11-08,72,False
2020-11-15,48,False
2020-11-22,51,False
2020-11-29,58,False
2020-12-06,38,False
2020-12-13,50,False
2020-12-20,53,False
2020-12-27,46,False
2021-01-03,44,False
2021-01-10,52,False
2021-01-17,41,False
2021-01-24,58,False
2021-01-31,99,False
2021-02-07,100,False
2021-02-14,74,False
2021-02-21,79,False
2021-02-28,86,False
2021-03-07,75,False
2021-03-14,62,False
2021-03-21,56,False
2021-03-28,57,False
2021-04-04,60,False
2021-04-11,61,False
2021-04-18,51,False
2021-04-25,58,False
2021-05-02,88,False
2021-05-09,59,False
2021-05-16,42,False
2021-05-23,40,False
2021-05-30,37,False
2021-06-06,45,False
2021-06-13,46,False
2021-06-20,53,False
2021-06-27,48,False
2021-07-04,35,False
2021-07-11,50,False
2021-07-18,50,False
2021-07-25,70,False
2021-08-01,66,False
2021-08-08,44,False
2021-08-15,40,False
2021-08-22,42,False
2021-08-29,44,False
2021-09-05,48,True
