date,SPG,isPartial
2016-09-25,79,False
2016-10-02,69,False
2016-10-09,63,False
2016-10-16,68,False
2016-10-23,69,False
2016-10-30,73,False
2016-11-06,72,False
2016-11-13,71,False
2016-11-20,65,False
2016-11-27,65,False
2016-12-04,68,False
2016-12-11,70,False
2016-12-18,66,False
2016-12-25,63,False
2017-01-01,69,False
2017-01-08,70,False
2017-01-15,65,False
2017-01-22,68,False
2017-01-29,67,False
2017-02-05,66,False
2017-02-12,67,False
2017-02-19,67,False
2017-02-26,73,False
2017-03-05,74,False
2017-03-12,71,False
2017-03-19,71,False
2017-03-26,73,False
2017-04-02,76,False
2017-04-09,72,False
2017-04-16,68,False
2017-04-23,75,False
2017-04-30,75,False
2017-05-07,70,False
2017-05-14,70,False
2017-05-21,66,False
2017-05-28,68,False
2017-06-04,65,False
2017-06-11,65,False
2017-06-18,66,False
2017-06-25,84,False
2017-07-02,75,False
2017-07-09,78,False
2017-07-16,75,False
2017-07-23,73,False
2017-07-30,76,False
2017-08-06,79,False
2017-08-13,77,False
2017-08-20,70,False
2017-08-27,71,False
2017-09-03,68,False
2017-09-10,67,False
2017-09-17,70,False
2017-09-24,76,False
2017-10-01,74,False
2017-10-08,68,False
2017-10-15,72,False
2017-10-22,69,False
2017-10-29,75,False
2017-11-05,71,False
2017-11-12,64,False
2017-11-19,67,False
2017-11-26,71,False
2017-12-03,70,False
2017-12-10,70,False
2017-12-17,68,False
2017-12-24,66,False
2017-12-31,76,False
2018-01-07,67,False
2018-01-14,69,False
2018-01-21,67,False
2018-01-28,71,False
2018-02-04,67,False
2018-02-11,69,False
2018-02-18,70,False
2018-02-25,67,False
2018-03-04,75,False
2018-03-11,76,False
2018-03-18,70,False
2018-03-25,67,False
2018-04-01,67,False
2018-04-08,75,False
2018-04-15,89,False
2018-04-22,72,False
2018-04-29,76,False
2018-05-06,71,False
2018-05-13,65,False
2018-05-20,68,False
2018-05-27,66,False
2018-06-03,68,False
2018-06-10,65,False
2018-06-17,68,False
2018-06-24,71,False
2018-07-01,72,False
2018-07-08,75,False
2018-07-15,77,False
2018-07-22,81,False
2018-07-29,79,False
2018-08-05,78,False
2018-08-12,78,False
2018-08-19,100,False
2018-08-26,80,False
2018-09-02,67,False
2018-09-09,58,False
2018-09-16,58,False
2018-09-23,60,False
2018-09-30,62,False
2018-10-07,54,False
2018-10-14,59,False
2018-10-21,53,False
2018-10-28,55,False
2018-11-04,51,False
2018-11-11,49,False
2018-11-18,46,False
2018-11-25,51,False
2018-12-02,51,False
2018-12-09,44,False
2018-12-16,50,False
2018-12-23,45,False
2018-12-30,48,False
2019-01-06,54,False
2019-01-13,52,False
2019-01-20,53,False
2019-01-27,50,False
2019-02-03,49,False
2019-02-10,48,False
2019-02-17,45,False
2019-02-24,39,False
2019-03-03,40,False
2019-03-10,39,False
2019-03-17,37,False
2019-03-24,37,False
2019-03-31,37,False
2019-04-07,38,False
2019-04-14,39,False
2019-04-21,41,False
2019-04-28,35,False
2019-05-05,33,False
2019-05-12,32,False
2019-05-19,31,False
2019-05-26,31,False
2019-06-02,31,False
2019-06-09,36,False
2019-06-16,35,False
2019-06-23,33,False
2019-06-30,31,False
2019-07-07,35,False
2019-07-14,33,False
2019-07-21,33,False
2019-07-28,29,False
2019-08-04,30,False
2019-08-11,36,False
2019-08-18,37,False
2019-08-25,41,False
2019-09-01,32,False
2019-09-08,31,False
2019-09-15,33,False
2019-09-22,33,False
2019-09-29,33,False
2019-10-06,32,False
2019-10-13,27,False
2019-10-20,28,False
2019-10-27,28,False
2019-11-03,47,False
2019-11-10,33,False
2019-11-17,48,False
2019-11-24,35,False
2019-12-01,35,False
2019-12-08,28,False
2019-12-15,36,False
