date,T,isPartial
2016-09-18,79,False
2016-09-25,78,False
2016-10-02,75,False
2016-10-09,77,False
2016-10-16,75,False
2016-10-23,77,False
2016-10-30,74,False
2016-11-06,72,False
2016-11-13,78,False
2016-11-20,78,False
2016-11-27,76,False
2016-12-04,77,False
2016-12-11,78,False
2016-12-18,75,False
2016-12-25,72,False
2017-01-01,73,False
2017-01-08,72,False
2017-01-15,73,False
2017-01-22,75,False
2017-01-29,77,False
2017-02-05,74,False
2017-02-12,72,False
2017-02-19,75,False
2017-02-26,77,False
2017-03-05,77,False
2017-03-12,74,False
2017-03-19,80,False
2017-03-26,77,False
2017-04-02,79,False
2017-04-09,79,False
2017-04-16,78,False
2017-04-23,77,False
2017-04-30,79,False
2017-05-07,80,False
2017-05-14,78,False
2017-05-21,80,False
2017-05-28,80,False
2017-06-04,80,False
2017-06-11,83,False
2017-06-18,81,False
2017-06-25,85,False
2017-07-02,83,False
2017-07-09,80,False
2017-07-16,82,False
2017-07-23,82,False
2017-07-30,81,False
2017-08-06,78,False
2017-08-13,77,False
2017-08-20,77,False
2017-08-27,76,False
2017-09-03,78,False
2017-09-10,80,False
2017-09-17,80,False
2017-09-24,81,False
2017-10-01,79,False
2017-10-08,77,False
2017-10-15,76,False
2017-10-22,78,False
2017-10-29,79,False
2017-11-05,78,False
2017-11-12,80,False
2017-11-19,80,False
2017-11-26,79,False
2017-12-03,82,False
2017-12-10,81,False
2017-12-17,77,False
2017-12-24,75,False
2017-12-31,74,False
2018-01-07,74,False
2018-01-14,74,False
2018-01-21,75,False
2018-01-28,77,False
2018-02-04,77,False
2018-02-11,74,False
2018-02-18,76,False
2018-02-25,75,False
2018-03-04,77,False
2018-03-11,75,False
2018-03-18,78,False
2018-03-25,77,False
2018-04-01,78,False
2018-04-08,81,False
2018-04-15,80,False
2018-04-22,79,False
2018-04-29,83,False
2018-05-06,85,False
2018-05-13,80,False
2018-05-20,87,False
2018-05-27,100,False
2018-06-03,87,False
2018-06-10,86,False
2018-06-17,81,False
2018-06-24,83,False
2018-07-01,82,False
2018-07-08,82,False
2018-07-15,82,False
2018-07-22,83,False
2018-07-29,83,False
2018-08-05,81,False
2018-08-12,81,False
2018-08-19,83,False
2018-08-26,82,False
2018-09-02,83,False
2018-09-09,79,False
2018-09-16,81,False
2018-09-23,79,False
2018-09-30,76,False
2018-10-07,79,False
2018-10-14,78,False
2018-10-21,76,False
2018-10-28,78,False
2018-11-04,76,False
2018-11-11,78,False
2018-11-18,82,False
2018-11-25,77,False
2018-12-02,82,False
2018-12-09,81,False
2018-12-16,76,False
2018-12-23,74,False
2018-12-30,71,False
2019-01-06,73,False
2019-01-13,75,False
2019-01-20,77,False
2019-01-27,75,False
2019-02-03,78,False
2019-02-10,80,False
2019-02-17,81,False
2019-02-24,81,False
2019-03-03,83,False
2019-03-10,80,False
2019-03-17,82,False
2019-03-24,84,False
2019-03-31,83,False
2019-04-07,81,False
2019-04-14,82,False
2019-04-21,82,False
2019-04-28,82,False
2019-05-05,82,False
2019-05-12,80,False
2019-05-19,79,False
2019-05-26,81,False
2019-06-02,80,False
2019-06-09,81,False
2019-06-16,84,False
2019-06-23,83,False
2019-06-30,80,False
2019-07-07,80,False
2019-07-14,83,False
2019-07-21,82,False
2019-07-28,80,False
2019-08-04,83,False
2019-08-11,81,False
2019-08-18,82,False
2019-08-25,80,False
2019-09-01,79,False
2019-09-08,83,False
2019-09-15,81,False
2019-09-22,81,False
2019-09-29,76,False
2019-10-06,76,False
2019-10-13,76,False
2019-10-20,75,False
2019-10-27,75,False
2019-11-03,78,False
2019-11-10,76,False
2019-11-17,77,False
2019-11-24,76,False
2019-12-01,77,False
2019-12-08,78,False
2019-12-15,75,False
2019-12-22,75,False
2019-12-29,71,False
2020-01-05,73,False
2020-01-12,73,False
2020-01-19,76,False
2020-01-26,72,False
2020-02-02,76,False
2020-02-09,76,False
2020-02-16,77,False
2020-02-23,76,False
2020-03-01,75,False
2020-03-08,72,False
2020-03-15,70,False
2020-03-22,74,False
2020-03-29,72,False
2020-04-05,72,False
2020-04-12,78,False
2020-04-19,76,False
2020-04-26,77,False
2020-05-03,78,False
2020-05-10,80,False
2020-05-17,81,False
2020-05-24,82,False
2020-05-31,85,False
2020-06-07,85,False
2020-06-14,91,False
2020-06-21,81,False
2020-06-28,83,False
2020-07-05,81,False
2020-07-12,80,False
2020-07-19,83,False
2020-07-26,81,False
2020-08-02,83,False
2020-08-09,78,False
2020-08-16,79,False
2020-08-23,79,False
2020-08-30,77,False
2020-09-06,77,False
2020-09-13,77,False
2020-09-20,78,False
2020-09-27,75,False
2020-10-04,76,False
2020-10-11,76,False
2020-10-18,75,False
2020-10-25,74,False
2020-11-01,69,False
2020-11-08,75,False
2020-11-15,75,False
2020-11-22,76,False
2020-11-29,76,False
2020-12-06,76,False
2020-12-13,73,False
2020-12-20,72,False
2020-12-27,72,False
2021-01-03,71,False
2021-01-10,71,False
2021-01-17,70,False
2021-01-24,72,False
