date,TGT,isPartial
2016-09-25,34,False
2016-10-02,30,False
2016-10-09,29,False
2016-10-16,30,False
2016-10-23,22,False
2016-10-30,21,False
2016-11-06,26,False
2016-11-13,33,False
2016-11-20,32,False
2016-11-27,31,False
2016-12-04,33,False
2016-12-11,36,False
2016-12-18,43,False
2016-12-25,29,False
2017-01-01,35,False
2017-01-08,35,False
2017-01-15,30,False
2017-01-22,29,False
2017-01-29,35,False
2017-02-05,38,False
2017-02-12,31,False
2017-02-19,28,False
2017-02-26,45,False
2017-03-05,41,False
2017-03-12,29,False
2017-03-19,34,False
2017-03-26,33,False
2017-04-02,29,False
2017-04-09,28,False
2017-04-16,33,False
2017-04-23,34,False
2017-04-30,34,False
2017-05-07,32,False
2017-05-14,43,False
2017-05-21,43,False
2017-05-28,37,False
2017-06-04,35,False
2017-06-11,41,False
2017-06-18,43,False
2017-06-25,35,False
2017-07-02,37,False
2017-07-09,46,False
2017-07-16,32,False
2017-07-23,32,False
2017-07-30,30,False
2017-08-06,33,False
2017-08-13,38,False
2017-08-20,45,False
2017-08-27,34,False
2017-09-03,38,False
2017-09-10,38,False
2017-09-17,31,False
2017-09-24,33,False
2017-10-01,29,False
2017-10-08,32,False
2017-10-15,27,False
2017-10-22,33,False
2017-10-29,32,False
2017-11-05,30,False
2017-11-12,34,False
2017-11-19,30,False
2017-11-26,34,False
2017-12-03,28,False
2017-12-10,30,False
2017-12-17,38,False
2017-12-24,36,False
2017-12-31,34,False
2018-01-07,36,False
2018-01-14,39,False
2018-01-21,36,False
2018-01-28,38,False
2018-02-04,28,False
2018-02-11,31,False
2018-02-18,28,False
2018-02-25,29,False
2018-03-04,37,False
2018-03-11,31,False
2018-03-18,33,False
2018-03-25,25,False
2018-04-01,29,False
2018-04-08,28,False
2018-04-15,26,False
2018-04-22,25,False
2018-04-29,30,False
2018-05-06,26,False
2018-05-13,26,False
2018-05-20,29,False
2018-05-27,31,False
2018-06-03,31,False
2018-06-10,25,False
2018-06-17,29,False
2018-06-24,31,False
2018-07-01,35,False
2018-07-08,39,False
2018-07-15,34,False
2018-07-22,39,False
2018-07-29,43,False
2018-08-05,39,False
2018-08-12,40,False
2018-08-19,57,False
2018-08-26,43,False
2018-09-02,52,False
2018-09-09,56,False
2018-09-16,51,False
2018-09-23,43,False
2018-09-30,35,False
2018-10-07,37,False
2018-10-14,28,False
2018-10-21,29,False
2018-10-28,35,False
2018-11-04,26,False
2018-11-11,25,False
2018-11-18,39,False
2018-11-25,36,False
2018-12-02,36,False
2018-12-09,43,False
2018-12-16,41,False
