date,VZ,isPartial
2016-09-18,70,False
2016-09-25,85,False
2016-10-02,84,False
2016-10-09,83,False
2016-10-16,91,False
2016-10-23,84,False
2016-10-30,79,False
2016-11-06,82,False
2016-11-13,83,False
2016-11-20,80,False
2016-11-27,78,False
2016-12-04,93,False
2016-12-11,81,False
2016-12-18,86,False
2016-12-25,73,False
2017-01-01,77,False
2017-01-08,83,False
2017-01-15,88,False
2017-01-22,90,False
2017-01-29,80,False
2017-02-05,81,False
2017-02-12,93,False
2017-02-19,81,False
2017-02-26,88,False
2017-03-05,84,False
2017-03-12,76,False
2017-03-19,85,False
2017-03-26,78,False
2017-04-02,76,False
2017-04-09,75,False
2017-04-16,85,False
2017-04-23,85,False
2017-04-30,91,False
2017-05-07,85,False
2017-05-14,87,False
2017-05-21,82,False
2017-05-28,86,False
2017-06-04,71,False
2017-06-11,81,False
2017-06-18,84,False
2017-06-25,83,False
2017-07-02,73,False
2017-07-09,77,False
2017-07-16,79,False
2017-07-23,99,False
2017-07-30,84,False
2017-08-06,79,False
2017-08-13,81,False
2017-08-20,85,False
2017-08-27,80,False
2017-09-03,85,False
2017-09-10,78,False
2017-09-17,78,False
2017-09-24,78,False
2017-10-01,81,False
2017-10-08,78,False
2017-10-15,78,False
2017-10-22,74,False
2017-10-29,77,False
2017-11-05,88,False
2017-11-12,77,False
2017-11-19,76,False
2017-11-26,75,False
2017-12-03,74,False
2017-12-10,80,False
2017-12-17,80,False
2017-12-24,78,False
2017-12-31,70,False
2018-01-07,75,False
2018-01-14,80,False
2018-01-21,83,False
2018-01-28,87,False
2018-02-04,84,False
2018-02-11,85,False
2018-02-18,81,False
2018-02-25,80,False
2018-03-04,73,False
2018-03-11,72,False
2018-03-18,75,False
2018-03-25,81,False
2018-04-01,81,False
2018-04-08,87,False
2018-04-15,81,False
2018-04-22,87,False
2018-04-29,75,False
2018-05-06,80,False
2018-05-13,78,False
2018-05-20,74,False
2018-05-27,73,False
2018-06-03,76,False
2018-06-10,80,False
2018-06-17,87,False
2018-06-24,92,False
2018-07-01,78,False
2018-07-08,79,False
2018-07-15,71,False
2018-07-22,82,False
2018-07-29,69,False
2018-08-05,79,False
2018-08-12,82,False
2018-08-19,72,False
2018-08-26,77,False
2018-09-02,74,False
2018-09-09,78,False
