date,WBA,isPartial
2016-09-04,20,False
2016-09-11,19,False
2016-09-18,17,False
2016-09-25,14,False
2016-10-02,14,False
2016-10-09,18,False
2016-10-16,30,False
2016-10-23,25,False
2016-10-30,17,False
2016-11-06,18,False
2016-11-13,16,False
2016-11-20,27,False
2016-11-27,16,False
2016-12-04,17,False
2016-12-11,53,False
2016-12-18,21,False
2016-12-25,33,False
2017-01-01,24,False
2017-01-08,26,False
2017-01-15,24,False
2017-01-22,23,False
2017-01-29,29,False
2017-02-05,17,False
2017-02-12,16,False
2017-02-19,15,False
2017-02-26,18,False
2017-03-05,20,False
2017-03-12,27,False
2017-03-19,17,False
2017-03-26,23,False
2017-04-02,20,False
2017-04-09,14,False
2017-04-16,31,False
2017-04-23,21,False
2017-04-30,21,False
2017-05-07,34,False
2017-05-14,26,False
2017-05-21,28,False
2017-05-28,16,False
2017-06-04,15,False
2017-06-11,18,False
2017-06-18,17,False
2017-06-25,22,False
2017-07-02,22,False
2017-07-09,22,False
2017-07-16,27,False
2017-07-23,24,False
2017-07-30,22,False
2017-08-06,24,False
2017-08-13,29,False
2017-08-20,30,False
2017-08-27,42,False
2017-09-03,23,False
2017-09-10,17,False
2017-09-17,23,False
2017-09-24,31,False
2017-10-01,17,False
2017-10-08,17,False
2017-10-15,31,False
2017-10-22,36,False
2017-10-29,21,False
2017-11-05,16,False
2017-11-12,28,False
2017-11-19,31,False
2017-11-26,30,False
2017-12-03,18,False
2017-12-10,24,False
2017-12-17,35,False
2017-12-24,20,False
2017-12-31,37,False
2018-01-07,27,False
2018-01-14,27,False
2018-01-21,33,False
2018-01-28,45,False
2018-02-04,17,False
2018-02-11,34,False
2018-02-18,23,False
2018-02-25,20,False
2018-03-04,23,False
2018-03-11,21,False
2018-03-18,18,False
2018-03-25,24,False
2018-04-01,26,False
2018-04-08,20,False
2018-04-15,51,False
2018-04-22,24,False
2018-04-29,28,False
2018-05-06,27,False
2018-05-13,25,False
2018-05-20,22,False
2018-05-27,18,False
2018-06-03,22,False
2018-06-10,26,False
2018-06-17,25,False
2018-06-24,25,False
2018-07-01,22,False
2018-07-08,24,False
2018-07-15,30,False
2018-07-22,31,False
2018-07-29,35,False
2018-08-05,39,False
2018-08-12,28,False
2018-08-19,25,False
2018-08-26,27,False
2018-09-02,18,False
2018-09-09,18,False
2018-09-16,24,False
2018-09-23,26,False
2018-09-30,26,False
2018-10-07,25,False
2018-10-14,19,False
2018-10-21,24,False
2018-10-28,19,False
2018-11-04,23,False
2018-11-11,23,False
2018-11-18,21,False
2018-11-25,21,False
2018-12-02,36,False
2018-12-09,24,False
2018-12-16,19,False
2018-12-23,31,False
2018-12-30,29,False
2019-01-06,28,False
2019-01-13,25,False
2019-01-20,31,False
2019-01-27,29,False
2019-02-03,33,False
2019-02-10,32,False
2019-02-17,33,False
2019-02-24,24,False
2019-03-03,24,False
2019-03-10,32,False
2019-03-17,21,False
2019-03-24,24,False
